sentence1	sentence2
Ugotovili smo, da imamo enake poglede na razvoj turizma v prihodnosti in da bi Hrvaška in Slovenija s skupnimi močmi lahko postali vodilni v tem delu Evrope v svojih turističnih segmentih.	Ugotovili smo, da imamo enake poglede na razvoj turizma v prihodnosti in da bi lahko Hrvaška in Slovenija, če združita moči, postali vodilni v svojih turističnih segmentih v tem delu Evrope.
Danes zvečer sta se na tem območju prevrnili še dve plovili, na odprtem morju pa se je prevrnila jahta z 39 potniki na krovu.	Zvečer sta se na tem območju prevrnili še dve ladji, na odprtem morju pa se je prevrnila jahta z 39 potniki na krovu.
Danes zvečer sta se na tem območju prevrnili še dve drugi plovili, na odprtem morju pa se je prevrnila jahta z 39 potniki na krovu.	Zvečer sta se na tem območju prevrnili še dve ladji, na odprtem morju pa se je prevrnila jahta z 39 potniki na krovu.
Dve sta očesi, ušesi, nosnici, moji dojki in tvoji jajci, nogi, roki in ritnici.	Imajo dve očesi, dve ušesi, dve nosnici, moje prsi in tvoja jajca, noge, roke in rit.
Dejansko se moramo vrniti v četrto stoletje našega štetja na bizantinsko območje, ko so se v Sredozemlju že širila različna manihejska gibanja.	Bodite pozorni, saj se moramo vrniti v četrto stoletje našega štetja na bizantinsko območje, ko so se različna manihejska gibanja že širila po Sredozemlju.
Prosim, bodita pozorna, saj moramo iti nazaj v četrto stoletje po našem štetju na območje Bizanca, ko so se po Sredozemlju že razširila različna manihejska gibanja.	Bodite pozorni, saj se moramo vrniti v četrto stoletje našega štetja na bizantinsko območje, ko so se različna manihejska gibanja že širila po Sredozemlju.
Prebrati jih je bilo treba tako, da ste vanje položili list papirja z luknjicami, tako da so bila zakrita le nekatera mesta.	Prebrati jih je bilo treba tako, da ste prilepili list papirja z luknjicami, tako da so bili pokriti le nekateri deli.
Brati si ju moral tako, da si nanju položil list papirja z odprtinami, da je prekrival samo nekatera mesta.	Prebrati jih je bilo treba tako, da ste vanje položili list papirja z luknjicami, tako da so bila zakrita le nekatera mesta.
"Izraza ""mreženje"" in ""povezovanje"", ki sta bila tesno povezana z informacijskimi in telekomunikacijskimi tehnologijami, postajata vedno bolj uporabna in pomembna v zvezi z upravljanjem odnosov, procesov in transakcij v podjetju ter v njegovih odnosih s poslovnimi partnerji na višji in nižji stopnji."	"Izraza ""mreženje"" in ""povezovanje"", ki sta bila ozko povezana z informacijskimi in telekomunikacijskimi tehnologijami, pridobivata na uporabnosti in pomenu v zvezi z upravljanjem odnosov, procesov in transakcij v podjetju ter v njegovih povezavah s poslovnimi partnerji na višji in nižji stopnji."
"Izraza ""mreženje"" in ""povezovanje"", ki sta bila tesno povezana z informacijskimi in telekomunikacijskimi tehnologijami, postajata vedno bolj uporabna in pomembna v zvezi z upravljanjem odnosov, procesov in transakcij v podjetju ter v njegovih odnosih s poslovnimi partnerji na višji in nižji stopnji."	Izraza »omrežno« in »povezovanje«, ki sta bila ozko vezana na informacijske in telekomunikacijske tehnologije, pridobivata uporabnost in pomen v povezavi z upravljanjem odnosov, procesov in transakcij znotraj podjetja in v njegovih povezavah v nabavno prodajni verigi s poslovnimi partnerji.
Programska ali produktno matrična organizacijska oblika povezuje oziroma združuje poslovno-funkcijsko in decentralizirano organizacijsko obliko, pri čemer skuša izkoristiti njune prednosti in se izogniti njunim pomanjkljivostim.	Programska ali produktna matrična oblika organizacije združuje ali združuje poslovno-funkcionalno in decentralizirano obliko organizacije ter poskuša izkoristiti njune prednosti in se izogniti njunim slabostim.
Programska organizacijska oblika ali organizacijska oblika matrike izdelkov združuje ali združuje poslovno-funkcionalne in decentralizirane organizacijske oblike ter poskuša izkoristiti njihove prednosti in se izogniti njihovim slabostim.	Programska ali produktna matrična oblika organizacije združuje ali združuje poslovno-funkcionalno in decentralizirano obliko organizacije ter poskuša izkoristiti njune prednosti in se izogniti njunim slabostim.
Pravzaprav so vsi krenili proti zelo podobnemu cilju: iskanju identitete v sodobnem, s tehnologijo prepredenem svetu, ki posamezniku izmika tla pod nogami, v zameno pa mu ne ponuja drugega kot zlato tele potrošništva.	Pravzaprav vsi stremijo k zelo podobnemu cilju: iskanju identitete v sodobnem, s tehnologijo prepredenem svetu, ki posamezniku jemlje tla pod nogami in mu v zameno ponuja le zlato tele potrošništva.
Pravzaprav vsi stremijo k zelo podobnemu cilju: iskanju identitete v sodobnem, s tehnologijo prežetem svetu, ki posameznika razdvaja in mu ponuja le zlato tele potrošništva.	Pravzaprav vsi stremijo k zelo podobnemu cilju: iskanju identitete v sodobnem, s tehnologijo prepredenem svetu, ki posamezniku jemlje tla pod nogami in mu v zameno ponuja le zlato tele potrošništva.
Na albanski strani je bilo konec tedna ubitih osem ljudi, srbska stran pa poroča, da so Albanci zajeli dva njihova policista.	Na albanski strani je bilo tudi za konec tedna osem mrtvih, srbska pa poroča, da so Albanci ujeli dva njihova policista.
Na albanski strani je bilo konec tedna ubitih osem ljudi, srbska stran pa poroča, da so Albanci zajeli dva njihova policista.	Na albanski strani je bilo konec tedna ubitih osem ljudi, srbska stran pa je sporočila, da so Albanci zajeli dva njena policista.
Fotografovi asistentki, dvojčici Lisa in Lynette Lavender, sta na sodišču nekaj dni po fotografovi smrti vložili zahtevo, da se avtorske pravice pripišejo njima.	Nekaj dni po fotografovi smrti sta njegovi pomočnici, dvojčici Lisa in Lynette Lavender, pri sodišču vložili prošnjo za prenos avtorskih pravic nanju.
Fotografovi asistentki, dvojčici Lisa in Lynette Lavender, sta na sodišču nekaj dni po fotografovi smrti vložili zahtevo, da se avtorske pravice pripišejo njima.	Nekaj dni po fotografovi smrti sta njegovi pomočnici, dvojčici Lisa in Lynette Lavender, na sodišču vložili zahtevo, da se avtorske pravice prenesejo nanju.
Doma Roku prepovesta uporabo kletvic in mu predlagata, naj jih nadomesti.	Vidva pa doma Roku prepovejta uporabo grdih besed in predlagajta zamenjavo zanje.
Doma Roku prepovesta uporabo kletvic in mu predlagata, naj jih nadomesti.	Doma Roku prepovedujeta uporabo grdih besed in mu predlagata, kako jih nadomestiti.
Strokovnjaki menijo, da ima Osama bin Laden finančne in organizacijske zmogljivosti za izvedbo terorističnih napadov, kakršni so v torek pretresli ZDA.	Strokovnjaki menijo, da ima Osama bin Laden finančne in organizacijske zmogljivosti za izvedbo terorističnih dejanj, kakršna so v torek pretresla ZDA.
Strokovnjaki menijo, da ima Osama bin Laden finančne in organizacijske zmogljivosti za izvedbo terorističnih napadov, kakršni so v torek pretresli ZDA.	Strokovnjaki menijo, da je Osama bin Laden finančno in organizacijsko sposoben izvesti takšna teroristična dejanja, kakršna so v torek pretresla ZDA.
To je razvidno iz dveh daljših odsotnosti predsednika prezidija Josipa Vidmarja.	To se kaže v dveh daljših odsotnostih predsednika predsedstva Josipa Vidmarja.
To je razvidno iz dveh daljših odsotnosti predsednika predsedstva Josipa Vidmarja.	To je razvidno iz dveh daljših odsotnosti predsednika prezidija Josipa Vidmarja.
Štiri naselja se izločijo iz sedanje občine in se priključijo drugim območjem, vsa naselja v KS Bučka pa se priključijo 179. območju Škocjan.	Štiri naselja so izločena iz sedanje občine in priključena k drugima območjema, vsa neselja iz KS Bučka pa priključena k 179. območju Škocjan.
Štiri naselja se bodo izločila iz sedanje občine in vključila v druga območja, vsa naselja v KS Bučka pa bodo vključena v 179. okraj.	Štiri naselja so izločena iz sedanje občine in priključena k drugima območjema, vsa neselja iz KS Bučka pa priključena k 179. območju Škocjan.
Stara sem šele 17 let in res je, da imam na tem področju že 13 let izkušenj, vendar prepevam le tisto, kar mi ustreza, in pesmi, ki ustrezajo mojim glasovnim sposobnostim!	Imam le sedemnajst let, res je, da imam že 13 let delovne dobe na tem področju, vendar zapojem le tisto, kar mi leži, in skladbe, ki so primerne mojim glasovnim sposobnostim!
Stara sem šele 17 let in res je, da imam na tem področju že 13 let izkušenj, vendar prepevam le tisto, kar mi ustreza, in pesmi, ki ustrezajo mojim glasovnim sposobnostim!	Stara sem le 17 let in imam 13 let izkušenj na tem področju, vendar prepevam le tisto, kar mi ustreza, in pesmi, ki ustrezajo mojim glasovnim sposobnostim!
Na vhodnih vratih enega od njih je napisano, da se zibljejo in da stranišča ne delujejo.	Na vhodnih vratih v eno od njiju sicer visi opozorilo, da zamaka in da so sanitarije v okvari.
Na vhodnih vratih enega od njih je obvestilo, da so nihajoča in da stranišča ne obratujejo.	Na vhodnih vratih enega od njih je napisano, da se zibljejo in da stranišča ne delujejo.
Če voznik ni previden pri uporabi pedala za plin, lahko sprednje kolo pogosto zaide v zrak.	Če voznik pri pospeševanju ni previden, lahko sprednje kolo poleti v zrak.
Če voznik ni previden pri uporabi pedala za plin, lahko sprednje kolo pogosto zaide v zrak.	Če voznik pri dodajanju plina ni previden, se kaj rado zgodi, da prednje kolo pobegne v zrak.
Ne le, da kaki krepi imunski sistem, odličen je tudi za razstrupljanje organizma, poživitev, zniževanje visoke temperature, prav tako pa pomaga tudi pri prebavi in koristno vpliva na ledvica, jetra, oči, kožo, lase, dlesni, zobe in kosti.	Kaki ne le krepi imunski sistem, temveč je odličen tudi za razstrupljanje telesa, revitalizacijo, zniževanje visoke vročine, spodbujanje prebave ter podporo ledvicam, jetrom, očem, koži, lasem, dlesnim, zobem in kostem.
Kaki ne le krepi imunski sistem, ampak je odličen tudi za razstrupljanje telesa, revitalizacijo, zniževanje povišane telesne temperature, pomoč pri prebavi ter blagodejno vpliva na ledvice, jetra, oči, kožo, lase, dlesni, zobe in kosti.	Ne le, da kaki krepi imunski sistem, odličen je tudi za razstrupljanje organizma, poživitev, zniževanje visoke temperature, prav tako pa pomaga tudi pri prebavi in koristno vpliva na ledvica, jetra, oči, kožo, lase, dlesni, zobe in kosti.
"""Občudovali smo tvoje znanje angleščine, ki si ga obvladal z levo roko, tvoje risarske sposobnosti, za katere smo se spraševali, ali so fotografije."	"""Občudovali smo tvoje znanje angleščine, ki si ga obvladal z levo roko, tvoje risarske sposobnosti, za katere smo se spraševali, ali gre za fotografije."
"""Občudovali smo tvoje znanje angleščine, ki si ga obvladal z levo roko, tvoje risarske sposobnosti, za katere smo se spraševali, ali so fotografije."	"""Občudovali smo tvoje znanje angleščine, ki si ga osvajal z levo roko, tvoje risarske sposobnosti, ob katerih smo se spraševali, ali niso fotografije."
Takšna hrana najbolj ustreza vaši evolucijski dediščini ter je za vaš organizem najmanj stresna in tvegana.	Takšna hrana je najbolj v skladu z vašo evolucijsko dediščino in je za vaš organizem najmanj stresna in tvegana.
Takšna hrana najbolj ustreza vaši evolucijski dediščini ter je za vaš organizem najmanj stresna in tvegana.	Takšna hrana je najbolj usklajena z vašo evolucijsko dediščino in je za vaš organizem najmanj obremenilna, tvegana.
Zato, ker rad je, in ker je, kot dodaja, morda tudi malo hipohondričen.	Ker rad jé in ker je, kot dodaja, morda malce hipohondričen.
Zato, ker rad je, in ker je, kot dodaja, morda tudi malo hipohondričen.	Ker rad jé in ker, kot dodaja, je morda malce hipohondričen.
Otroka moramo nenehno spominjati, naj je, kadar je lačen, in neha, ko je sit.	Otroke moramo nenehno opozarjati, naj jedo, ko so lačni, in prenehajo, ko so siti.
Branje ima pomembno mesto tudi v vaših terapevtskih programih.	Branje ima pomembno vlogo tudi v programih terapije.
Branje ima pomembno vlogo tudi v vaših terapevtskih programih.	Branje ima pomembno mesto tudi v vaših terapevtskih programih.
Strpnost predpostavlja, da nekaj popolnoma zavračate, da nečesa ne sprejmete, ker je v popolnem nasprotju z vami, z vašimi prepričanji, vrednotami in pogledom na svet.	Strpnost zahteva, da nekaj popolnoma zavračate, da nečesa ne sprejmete, ker je v popolnem nasprotju z vami, vašimi prepričanji, vrednotami, vašim pogledom na svet.
Strpnost namreč predpostavlja, da nekaj v celoti odklanjaš, ne sprejemaš, ker je v popolnem nasprotju s tabo, s tvojimi prepričanji, vrednotami, pogledi na svet.	Strpnost predpostavlja, da nekaj popolnoma zavračate, da nečesa ne sprejmete, ker je v popolnem nasprotju z vami, z vašimi prepričanji, vrednotami in pogledom na svet.
Za zajtrk je samo muslije, veliko sadja, jogurt, prepečence in krispije.	Za zajtrk so samo musli, veliko sadja, jogurt, toast in krispiji.
Za zajtrk je samo muslije, veliko sadja, jogurt, prepečence in krispije.	Za zajtrk so na voljo le kosmiči, veliko sadja, jogurt, toast in Krispies.
"Zato bomo pustili ob strani stvari in storitve, ki jih dobro plačujemo pri svojih mobilnih operaterjih, in si raje ogledali, kaj radi počnejo novodobni elektronski ""kriminalci""."	Ob robu bomo torej pustili stvari in storitve, ki jih dobro plačujemo našima operaterjema mobilne telefonije, in bomo raje pogledali, kaj radi delajo novodobni elektronski »kriminalci«.
"Zato bomo pustili ob strani stvari in storitve, ki jih dobro plačujemo pri svojih mobilnih operaterjih, in si raje ogledali, kaj radi počnejo novodobni elektronski ""kriminalci""."	"Zato pustimo ob strani stvari in storitve, ki jih dobro plačujemo pri svojih mobilnih operaterjih, in si raje oglejmo, kaj radi počnejo elektronski ""kriminalci"" sodobnega časa."
Vse se je začelo pri 16 letih, ko sem želela delati kot hostesa v operi ali gledališču.	Vse se je začelo pri mojih šestnajstih letih, ko sem si želela honorarno delati kot hostesa v operi ali gledališču.
Vse se je začelo, ko sem bila stara 16 let in sem želela delati kot hostesa v operi ali gledališču.	Vse se je začelo pri 16 letih, ko sem želela delati kot hostesa v operi ali gledališču.
Med porodom je popolnoma neobčutljiva za zunanje dražljaje in našega tatinskega dejanja sploh ni opazila.	Med porodom je popolnoma neobčutljiva za zunanje dražljaje in najine tatinske akcije sploh ni opazila.
Med porodom je popolnoma neprepustna za zunanje dražljaje in sploh ni opazila naše kraje.	Med porodom je popolnoma neobčutljiva za zunanje dražljaje in najine tatinske akcije sploh ni opazila.
Vendar sem bila tiho, tako kot je bila Lucy v prvih tednih najinega skupnega življenja.	Vendar sem molčala, tako kot Lucy v najinih prvih tednih.
Vendar sem bila tiho, tako kot je bila Lucy v prvih tednih najinega skupnega življenja.	Jaz pa sem molčala, tako kot je molčala Ljubica v najinih prvih skupnih tednih.
V štampiljke s planiko, ki sem jih podaril babici za prvo srednješolsko štipendijo, ki sem jo po nekakšnem preizkusu dobil v Osijeku, je nalival slivovico Grada, bolj ga je skrbelo, ali bo župnik v nedeljo pri maši, ko se bo v homiliji spomnil dobrote moje pokojne svakinje, omenil, kako sta njeni hčeri pobelili stene babičine sobe, čeprav od njene smrti ni minilo še niti četrt tedna.	On je bil, medtem ko je nalival gradaško slivovko v štamprle, na katerih je bila narisana planika in ki sem jih jaz poklonila babici za svojo prvo srednješolsko štipendijo, ki mi je bila po nekakšnem testiranju dodeljena v Osijeku, bolj zaskrbljen, ali bo župnik v nedeljo pri maši, ko se bo v pridigi spominjal dobrote pokojne svakinje, omenil, kako sta njeni pogospodeni hčerki belili zidove starkine sobe, ko ni niti četrt tedna prešlo od njene smrti.
V tampone s planikami, ki sem jih dal babici za prvo srednješolsko štipendijo, ki sem jo dobil v Osijeku po nekakšnem izpitu, je polnil Grada slivovico, bolj pa ga je skrbelo, ali bo duhovnik v nedeljo pri maši, ko bo v pridigi spomnil na dobroto moje pokojne svakinje, omenil, kako sta njeni hčeri pobelili stene babičine sobe, čeprav od njene smrti ni minilo še četrt tedna.	V štampiljke s planiko, ki sem jih podaril babici za prvo srednješolsko štipendijo, ki sem jo po nekakšnem preizkusu dobil v Osijeku, je nalival slivovico Grada, bolj ga je skrbelo, ali bo župnik v nedeljo pri maši, ko se bo v homiliji spomnil dobrote moje pokojne svakinje, omenil, kako sta njeni hčeri pobelili stene babičine sobe, čeprav od njene smrti ni minilo še niti četrt tedna.
Čeprav se v vsem tem času nisva videli, sem vedela, da je šla na svojo pot, opremljena s potrebščinami in navodili, ki jih je dobila na najinih dveh srečanjih.	Čeprav se v vsem tem času nisva videli, sem vedela, da je šla svojo pot, opremljena z zalogami in z ukazi, ki jih je dobila na najinih dveh sestankih.
Čeprav se v vsem tem času nisva videla, sem vedel, da je odšla na svojo pot, opremljena z zalogami in ukazi, ki jih je dobila na najinih dveh srečanjih.	Čeprav se v vsem tem času nisva videli, sem vedela, da je šla svojo pot, opremljena z zalogami in z ukazi, ki jih je dobila na najinih dveh sestankih.
Večina naših prizadevanj je bila usmerjena v njihovo ponovno vključitev na trg dela.	Večina naših prizadevanj je usmerjena v njihov ponovni vstop v svet dela.
Večina naših prizadevanj je bila usmerjena v njihovo ponovno vključitev na trg dela.	Večina najinih prizadevanj je bila usmerjenih v njihov ponoven vstop v svet dela.
V šestih dneh so premagali več kot 140 kilometrov, dobili marsikateri žulj, njihova najpomembnejša pripomočka pa sta bila kompas in zemljevid.	V šestih dneh so prehodili več kot 140 kilometrov, dobili veliko mehurjev, njihova najpomembnejša pripomočka pa sta bila kompas in zemljevid.
V šestih dneh so prehodili več kot 140 kilometrov, si nakopali marsikateri mehur, njihova najpomembnejša pripomočka pa sta bila kompas in zemljevid.	V šestih dneh so premagali več kot 140 kilometrov, dobili marsikateri žulj, njihova najpomembnejša pripomočka pa sta bila kompas in zemljevid.
S prvo stvarjo, ki jo je dosegla, to je s kladivom za rezanje mesa, je zamahnila proti meni in me udarila v čelo.	S prvim predmetom, ki ga je vzela v roke, to je zmečkalnikom mesa, me je udarila in me zadela v čelo.
S prvo stvarjo, ki jo je dosegla, to je s kladivom za rezanje mesa, je zamahnila proti meni in me udarila v čelo.	Prvo stvar, ki jo je dosegla, to pa je bilo kladivo za mehčanje mesa, je zalučala vame in me zadela v čelo.
Če bi jih želeli zaposliti za polni delovni čas, bi se morali zelo prepričati pri svojih financerjih (Ministrstvo za zdravje in Ministrstvo za delo, družino in socialne zadeve ter številni donatorji).	Če bi jih želeli redno zaposliti, pa bi morali zaposlitev zelo tehtno utemeljiti pri svojih financerjih (ministrstvo za zdravje in ministrstvo za delo, družino in socialne zadeve, ob njiju pa še vrsta donatorjev).
Če bi jih želeli zaposliti za polni delovni čas, bi se morali zelo prepričljivo predstaviti svojim financerjem (Ministrstvu za zdravje in Ministrstvu za delo, družino in socialne zadeve ter številnim donatorjem).	Če bi jih želeli zaposliti za polni delovni čas, bi se morali zelo prepričati pri svojih financerjih (Ministrstvo za zdravje in Ministrstvo za delo, družino in socialne zadeve ter številni donatorji).
Kam se po tvojem mnenju lahko glasba obrne v prihodnosti oziroma kakšna naj bi bila nova glasbena smer, ki bo navdušila slovenske poslušalce?	Kam se po vajinem mnenju lahko obrne glasba v prihodnosti oziroma kakšna mora biti nova glasbena smer, ki bo navdušila slovenske poslušalce?
Kam se po tvojem mnenju lahko glasba obrne v prihodnosti oziroma kakšna naj bi bila nova glasbena smer, ki bo navdušila slovenske poslušalce?	Kam bi se po tvojem mnenju glasba lahko razvijala v prihodnosti oziroma katera nova glasbena smer bo navdušila slovenske poslušalce?
Med vsemi mojimi kolegi je morda te slovenskosti še najmanj prav v mojem opusu.	Od vseh mojih kolegov imam pri svojem delu morda najmanj te slovenskosti.
Od vseh mojih kolegov je v mojem delu morda najmanj te slovenskosti.	Med vsemi mojimi kolegi je morda te slovenskosti še najmanj prav v mojem opusu.
Medtem bova končala zabavo, je rekel, živčno tolažil in se sklonil nad njo.	"Medtem pa bova končala zabavo,"" je rekel nervozno in tolažilno ter se sklonil nad njo."
V tem času pa bova midva dokončala najino zabavo, je rekel nervozno tolažeče in se popolnoma sklonil nadnjo.	"Medtem pa bova končala zabavo,"" je rekel nervozno in tolažilno ter se sklonil nad njo."
Spomnil je tudi, da grozot, ki smo jih doživeli v Auschwitzu, ne smemo nikoli pozabiti, da se ne bi ponovile.	Spomnil je tudi, da grozot, ki smo jim bili priča v Auschwitzu, ne smemo nikoli pozabiti, da se ne bi ponovile.
Ob tem je opozoril, da na grozote, kakršnim smo bili priča v Auschwitzu, ne smemo nikoli pozabiti, da se ne bi ponovile.	Spomnil je tudi, da grozot, ki smo jim bili priča v Auschwitzu, ne smemo nikoli pozabiti, da se ne bi ponovile.
Namilita se in zaplešita v objemu, medtem ko se vajini telesi stiskata pod toplimi kapljicami.	Ljubite se in plešite v objemu drug drugega, ko se vaša telesa stiskajo pod toplimi kapljicami.
Razmislite tudi o tem, kaj lahko še storite, da bi v spolno življenje vnesli več veselja.	Razmislite tudi o tem, kaj lahko še storite, da bi svoje spolno življenje še bolj popestrili.
Razmislite tudi o tem, kaj lahko še storite, da bi v spolno življenje vnesli več veselja.	Razmislite tudi, kaj še lahko storite, da bi v vajino spolno življenje vnesli več žara.
Potem pa se le dobimo na kavi, poklepetamo o vaših družinah, delu in hobijih ter se poslovimo.	Potem bi se le še napili kave, poklepetali o vaših družinah, delu in hobijih ter se poslovili.
Potem pa se le dobimo na kavi, poklepetamo o vaših družinah, delu in hobijih ter se poslovimo.	Tedaj bi le popili kavo, poklepetali o vajinih družinah, delu in hobijih in se poslovili.
Že od začetka sva bila predana svojemu poklicu, saj sva bila oba najboljša v tem, kar sva delala.	Že od začetka sva bila predana svojemu poklicu, saj sva bila oba najboljša v svojem poklicu.
Od začetka sva se posvečala najinima poklicema, saj sva bila oba v tistem, kar sva počela, najboljša.	Že od začetka sva bila predana svojemu poklicu, saj sva bila oba najboljša v svojem poklicu.
"""Lepo je, kadar nekdo verjame vate in kadar ti ponudi sodelovanje, ne da bi sploh govoril o denarju."	"""Lepo je, ko nekdo verjame vate in ti ponudi sodelovanje, ne da bi govorili o denarju."
"""Lepo je, ko nekdo verjame vate in ti ponudi sodelovanje, ne da bi govoril o denarju."	"""Lepo je, ko nekdo verjame vate in ti ponudi sodelovanje, ne da bi govorili o denarju."
Priča sem bila že mnogim pozitivnim spremembam, ki so se zgodile mojim učencem, kolegom in predvsem meni.	Opazila sem veliko pozitivnih sprememb pri svojih učencih, sodelavcih in, kar je najpomembneje, pri sebi.
Priča sem bil številnim pozitivnim spremembam, ki so se zgodile pri mojih učencih, mojih sodelavcih in še posebej pri meni.	Priča sem bila že mnogim pozitivnim spremembam, ki so se zgodile mojim učencem, kolegom in predvsem meni.
Čakali so, da mine dan, medtem ko so se jim za hrbtom na olesenelih lupinah sliv plazile velikanske gosenice.	Čakali so, da mine dan, in za njihovimi hrbti so se po vozličastih lupinah sliv plazile ogromne gosenice.
Čakala sta, da mine dan, za njunima hrbtoma so se po mezgastem trupu sliv plazile ogromne gosenice.	Čakali so, da mine dan, medtem ko so se jim za hrbtom na olesenelih lupinah sliv plazile velikanske gosenice.
V roki je imela črtasto vrečko s krvavim madežem in mi prišepnila, da je surova kokošja jetra in kri, in ko se ji v ustih zbere zadosti duš, si jih pusti curljati, teči ob strani na brado.	V roki je držala črtasto vrečko s krvavim madežem in mi šepetala, da so to surova piščančja jetra in kri, in ko je imela dovolj duš v ustih, je pustila, da so se ji cedile in ji tekle po bradi.
V roki je držala črtasto vrečko s krvavim madežem in mi zašepetala, da so to surova piščančja jetra in kri, in ko je imela dovolj duš v ustih, jih je spustila ven in ji tekle po bradi.	V roki je imela črtasto vrečko s krvavim madežem in mi prišepnila, da je surova kokošja jetra in kri, in ko se ji v ustih zbere zadosti duš, si jih pusti curljati, teči ob strani na brado.
Ne pretiravajte, temveč poslušajte svoje telo in njegove sposobnosti.	Z naprezanjem ne pretiravajte, raje prisluhnite svojemu telesu in njegovim zmožnostim.
Ne pretiravajte, ampak prisluhnite svojemu telesu in njegovim sposobnostim.	Ne pretiravajte, temveč poslušajte svoje telo in njegove sposobnosti.
Ampak ne s katerokoli pijačo, temveč z vajinim osebnim ljubezenskim šampanjcem.	Vendar ne s katero koli pijačo, temveč s svojim najljubšim šampanjcem.
Ampak ne s katerokoli pijačo, temveč z vajinim osebnim ljubezenskim šampanjcem.	Vendar ne s katero koli pijačo, temveč s šampanjcem, ki ga imate radi.
Ko sem svoji mami sporočila najine načrte, se ji je odvalil velik kamen od srca.	Ko sem mami povedal o najinih načrtih, se ji je iz srca odvalil velik kamen.
Ko sem mami povedal o najinih načrtih, ji je bilo to v veliko olajšanje.	Ko sem mami povedal o najinih načrtih, se ji je iz srca odvalil velik kamen.
Ker ti argumenti, ki temeljijo na mojih izkušnjah v Čečeniji, niso učinkoviti, mi ne preostane drugega, kot da odstopim.	Ker ti argumenti, podkrepljeni z mojimi izkušnjami v Čečeniji, niso bili uspešni, mi ne preostane drugega, kot da odstopim.
Ker ti argumenti, podkrepljeni z mojimi izkušnjami iz Čečenije, niso zalegli, mi ni preostalo drugega, kot da odstopim.	Ker ti argumenti, podkrepljeni z mojimi izkušnjami v Čečeniji, niso bili uspešni, mi ne preostane drugega, kot da odstopim.
Kako bo poslej: bo kovček bolj sameval, ali se bo tako godilo tvojemu računalniku, s katerim si pred nekaj leti presenetljivo naglo zamenjal nalivno pero, s katerim si prijateljeval na tvojem novinarskem maratonu?	Kakšen bo od zdaj naprej: Ali bo kovček bolj osamljen ali bo to veljalo tudi za računalnik, ki je pred nekaj leti presenetljivo hitro nadomestil nalivno pero, s katerim ste se spoprijateljili med novinarskim maratonom?
Kako bo poslej: bo kovček bolj sameval, ali se bo tako godilo tvojemu računalniku, s katerim si pred nekaj leti presenetljivo naglo zamenjal nalivno pero, s katerim si prijateljeval na tvojem novinarskem maratonu?	Kako bo odslej: bo kovček bolj osamljen ali bo enako veljalo za računalnik, ki je pred nekaj leti presenetljivo hitro nadomestil nalivno pero, s katerim ste se spoprijateljili na novinarskem maratonu?
Navsezadnje smo v tej sezoni dosegli vse cilje, saj smo se uvrstili v finale dveh največjih tekmovanj na slovenskih tleh.	Na koncu smo v tej sezoni dosegli vse cilje, saj smo se uvrstili v finale dveh največjih tekmovanj na slovenskih tleh.
Navsezadnje smo v tej sezoni dosegli vse cilje, saj smo se uvrstili v finale dveh največjih tekmovanj na slovenskih tleh.	Navsezadnje smo vse cilje v tej sezoni dosegli s prebojem v finale obeh največjih tekmovanj na slovenskih tleh.
Rusi bodo v Kazanu gostili Egipčane, vse, razen dveh njihovih zmag brez izgubljenega niza pa bi bilo veliko presenečenje.	Rusi v Kazanu gostujejo pri Egipčanih in vse, kar bi bilo drugače kot dve zmagi brez poraza, bi bilo veliko presenečenje.
Rusi bodo v Kazanu gostili Egipčane in karkoli drugega kot dve zmagi brez poraza bi bilo veliko presenečenje.	Rusi v Kazanu gostujejo pri Egipčanih in vse, kar bi bilo drugače kot dve zmagi brez poraza, bi bilo veliko presenečenje.
Zelo sem ponosna na najinih deset skupnih let in res sem vesela, da sva jih preživela na tak način.	Na najino desetletno obdobje sem zelo ponosen in resnično sem vesel, da sva ga tako preživela.
Letos je tekmovanje v razredu do 125 kubičnih centimetrov prav zaradi vajinih dvobojev še posebej zanimivo.	Letos je tekmovanje v razredu 125 ccm še posebej zanimivo zaradi vaših dvobojev.
Letos je tekmovanje v razredu do 125 kubičnih centimetrov prav zaradi vajinih dvobojev še posebej zanimivo.	Letos je tekmovanje v razredu 125 ccm še posebej zanimivo zaradi dvobojev.
Argentinsko-slovenski reprezentant je dvakrat prišel v stik z žogo in v 65. minuti po dveh slabih potezah ustvaril najlepšo priložnost Ptuja.	Argentinski Slovenec je bil takoj dvakrat v stiku z žogo, po dveh slabših potezah pa je v 65. minuti zasnoval akcijo za najlepšo priložnost ptujskih nogometašev.
Argentinec in Slovenec je bil takoj dvakrat v stiku z žogo, po dveh slabih potezah pa je v 65. minuti zasnoval akcijo za najlepšo priložnost Ptujčanov.	Argentinsko-slovenski reprezentant je dvakrat prišel v stik z žogo in v 65. minuti po dveh slabih potezah ustvaril najlepšo priložnost Ptuja.
Ko sta se najina pogleda srečala, mi je namignil, naj se mu pridružim.	Ko sva se srečala, me je povabil, naj se mu pridružim.
Ko sta se najina pogleda srečala, mi je namignil, naj se mu pridružim.	Ko sva se srečala, mi je dal znak, naj se mu pridružim.
