sentence0;sentence1;sentence2;sentence3
 Zato mu jo moramo vsaditi globoko v podzavest.; Zato mu jo moramo vsaditi globoko v podzavest.; Ko prodremo v njegov um, bomo morali postopati s tem, kar najdemo.; Osebek privedemo v te sanje in občutil jih bo kot svojo podzavest.
 Podzavest je motivirana s čustvi, kajne? Ne pa z razumom.; Podzavest je motivirana s čustvi, kajne? Ne pa z razumom.; Nihče ne mara, da mu nekdo drug išče po umu.; Grožnje v sanjanju so nesmiselne, kajne Mal?
 Najti moramo način, da idejo pretvorimo v emocionalni koncept.; Najti moramo način, da idejo pretvorimo v emocionalni koncept.; Ko ideja zavzame možgane, jo je skoraj nemogoče zatreti.; To nam omogoča poseči v ta proces.
 Kako boš poslovno strategijo spremenil v emocijo?; Kako boš poslovno strategijo spremenil v emocijo?; Takšen je tvoj način, da se znebiš zasledovalca?; Zakaj ti je tako pomembno sanjati?
 Mar nismo zato tukaj, da ugotovimo? Robertov odnos z očetom je stresen.; Mar nismo zato tukaj, da ugotovimo? Robertov odnos z očetom je stresen.; Odnos tega fanta z očetom je še slabši, kot smo si mislili.; James, govorili smo o tem. Mamice ni več tukaj.
 Milo rečeno. -Lahko izhajamo iz tega.; Milo rečeno. -Lahko izhajamo iz tega.; To ni mogoče izvesti. -Pač, izvedljivo je.; Pravega navdiha ni možno poneveriti. -Ni res.
 Kajti, sugerirati mu, naj deli očetovo podjetje, je »jebi se« starčku.;" Kajti, priporočiti mu, naj deli očetovo podjetje, je ""jebi se"" starčku."; Upajmo, da bo Fischerju všeč, kar bo našel tam notri.; Ubijanje ga bo pač le prebudilo.
 Ne, ker menim da pozitivna emocija vedno premaga negativno.; Ne, ker menim, da pozitivna čustev vedno premaga negativno.; Ni nujno, da sem to jaz.; Nisem prepričan, da je potrebno.
 Vsi težimo po spravi. Po katarzi, očiščenju.; Vsi težimo po spravi. Po katarzi, očiščenju.; Da je smrt edini izhod.; Da je smrt edini izhod.
 Robert Fischer mora imeti na vse to pozitiven čustven odziv.; Robert Fischer mora imeti na vse to pozitiven čustven odziv.; Svet potrebuje, da Robert Fischer spremeni svoje mišljenje.; Očitno je to ideja, ki jo bo Robert zavrnil.
 Prav, pa poskusimo s temle: »Moj oče odobrava, da hočem ustvarjati sam, na de sledim njegovim stopinjam«.; Prav, pa poskusimo s temle: »Moj oče odobruje, da hočem ustvarjati sam, na de sledim njegovim stopinjam«.; Nato, ko ga povedemo nivo globlje, bi se njegova lastna projekcija Browninga, morala povrniti.; Takole, v glavo vam dajem idejo, rečem vam: »Ne mislite na slone«.
 Utegne delovati. -Morda?; Utegne delovati. -Morda?; Ne, vem. -Kaj, če se motiš?; Morava si izmisliti nekakšen trzaj. -Kakšen?
 Rabimo kaj boljšega od le »morda«. -Hvala ti za sodelovanje, Arthur.;" Potrebujemo kaj boljšega od le ""morda"". -Hvala ti za sodelovanje, Arthur."; Vem, da je zdaj to težko, vendar je nujno. -Ne sedaj, stric Peter.; Kaj počneš? -Na svež zrak grem. Ostani kjer si, Mal.
 Oprosti mi za zahtevo po čem bolj dorečenem, Eames.; Oprosti mi za zahtevo po čem bolj dorečenem, Eames.; Le se vrnite se pred trzajem. Pojdi spat, gospod Eames.; Bolečina je doumljiva, in sodeč po dekorju, smo v tvojem umu. Drži, Arthur?
 Dorečenost? -Saditev nima opraviti z dorečenostjo.; Dorečenost? -Saditev nima nič opraviti z dorečenostjo.; Odlično. A ste se veliko naučili, kaj? -Potrebujemo neko vrsto motenja.; Zakaj? -Odkrito rečeno, ni legalen.
 Ko prodremo v njegov um, bomo morali postopati s tem, kar najdemo.; Ko prodremo v njegov um, bomo morali postopati s tem, kar najdemo.; Seme, ki ga bomo vsadili temu človeku v um, bo zraslo v idejo.; Osebek privedemo v te sanje in občutil jih bo kot svojo podzavest.
 Na gornjem nivoju bomo odprli njegov odnos z očetom.; Na zgornjem nivoju bomo odprli njegov odnos z očetom.; Vstopili bomo v njegovo podzavest in ugotovili, kaj vem je hotel prikriti.; Odnos tega fanta z očetom je še slabši, kot smo si mislili.
 Vsadimo: »Ne bom sledil očetovim stopinjam«.; Vstavimo: »Ne bom sledil očetovim stopinjam«.; Sledimo Fischerju tja dol.; Nato ga na naslednjem nižjem nivoju nahranimo z: »Nekaj bom ustvaril sam«.
 Nato ga na naslednjem nižjem nivoju nahranimo z: »Nekaj bom ustvaril sam«.; Nato ga na naslednjem nižjem nivoju nahranimo z: »Nekaj bom ustvaril sam«.; Vstavimo: »Ne bom sledil očetovim stopinjam«.; Prav, pa poskusimo s temle: »Moj oče odobruje, da hočem ustvarjati sam, na de sledim njegovim stopinjam«.
 Nato, ko dospemo na spodnji nivo, izvlečemo glavno orožje: »Moj oče noče, da sem kot on«. -Točno.; Nato, ko pridemo na spodnji nivo, izvlečemo glavno orožje: »Moj oče noče, da sem kot on«. -Točno.; In boljši kot je... -Več časa imamo, preden nas predstavitev ujame. -Točno tako.; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.
 Pri treh nivojih globine, se bodo sanje zrušile ob najmanjši motnji.; Pri treh nivojih globine, se bodo sanje zrušile ob najmanjši motnji.; Tako bo, ne glede kako globok je spanec, speči potom ravnotežja vseeno zaznal padanje.; Delovanje možganov v sanjah bo približno 20 krat večje od normalnega.
 Pomiritev. Za spanje, dosti stabilno za ustvarjanje treh nivojev sanjanja, bo treba kombinirati z izjemno močnim uspavalom.; Pomiritev. Za spanje, dosti stabilno za ustvarjanje treh nivojev sanjanja, bo treba mešati z izjemno močnim uspavalom.;" Ja. V stanju sanjanja, je vaša obramba zavesti oslabljena, kar vaše misli dela ranljive za krajo. Temu se reče ""izvlek""."; Našli ga bomo. Čim zaslišimo Arthurjevo glasbo, ga oživimo s šokom defibrilatorja.
 Lahko noč.; Lahko noč.; Živjo, očka.; Živjo.
 Zmes, ki bo rabljena za delitev sanj ustvari zelo jasno vez med sanjajočim, za povrh pa še pospešuje možganske funkcije.; Zmes, ki bo rabljena za delitev sanj ustvari zelo jasno vez med sanjajočim, za povrh pa še pospešuje možganske funkcije.; Delovanje možganov v sanjah bo približno 20 krat večje od normalnega.; Ko spimo, um lahko postori skoraj vse.
 Drugače povedano, daje nam več časa na vsakem nivoju.; Drugače povedano, daje nam več časa na vsakem nivoju.; To nam omogoča poseči v ta proces.; Najti moramo način, da idejo pretvorimo v emocionalni koncept.
 Delovanje možganov v sanjah bo približno 20 krat večje od normalnega.; Delovanje možganov v sanjah bo približno 20 krat večje od normalnega.; Zmes, ki bo rabljena za delitev sanj ustvari zelo jasno vez med sanjajočim, za povrh pa še pospešuje možganske funkcije.; Pri treh nivojih globine, se bodo sanje zrušile ob najmanjši motnji.
 Ko vstopiš v sanje teh sanj, se učinek množi.; Ko vstopiš v sanje teh sanj, se učinek množi.; Osebek privedemo v te sanje in občutil jih bo kot svojo podzavest.; V naših sanjah naš um to nenehno počne.
 Troje sanj, kar je 10 ur, to je 20 ... -Pardon, matematika ni moja močnejša plat.; Se opravičujem, matematika ni moja močnejša plat.; Trudila sem se, da se ne bi, toda... -Toda nič ni temu podobnega.; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.
 Koliko časa je to? -En teden na prvem nivoju, šest mesecev na drugem, in na tretjem nivoju ...; Koliko časa je to? -En teden na prvem nivoju, šest mesecev na drugem, in na tretjem nivoju...; Kako ga še izvajaš? -Z ustvarjanjem nečesa varnega, kot...; Preden me začneš nadlegovati rekoč, da je nemogoča...
 10 let.; 10 let.; Obup.; Kakšnih 50 let.
 Kdo bi rad v sanjah obtičal 10 let?; Kdo bi rad v sanjah obtičal 10 let?; Kako dolgo lahko tičimo tam?; Kaj hudiča bomo pa sedaj?
 Odvisno od sanj. -Ko vsadimo idejo, kako pridemo ven?; Odvisno od sanj. -Ko vstavimo idejo, kako pridemo ven?; In čas sanj? -S tole zmesjo?; Kako to misliš? -Ne bo se. -Ko v sanjah umremo, se prebudimo.
 Upam, da imaš kaj bolj elegantnega v mislih, kot da me ustrelijo v glavo.; Upam, da imaš kaj bolj elegantnega v mislih, kot da me ustrelijo v glavo.; Če grem brez tebe, jih bodo vseeno odvedli.; Hočeš torej, naj še nekomu dopustim slediti v tvojo fantazijo.
 Trzaj.; Trzaj.; Zagrenjen.; Odkimava.
 Kakšen trzaj? -Tole, Ariadne, bo takšen trzaj.; Kakšen trzaj? -Tole, Ariadne, bo takšen trzaj.; Čakaš na vlak. -Mal, prekleto, ne počni tega.; Pojdi preverit, če je res, Ariadne. -Cobb, tega ne moreš storiti.
" Za občutek padanja gre; dobiš trzljaje, ki te predramijo."; Za občutek padanja gre, dobiš trzljaje, ki te predramijo.; Zavrtiš ga v sanjah in nikoli ne bo padel.; Tako, ko zreš v totem, brez dvoma veš, da nisi v sanjah nekoga drugega.
 Krcnejo te iz sanj. -Pa bomo ob takšnem pomirjevalu čutili trzljaj?; Krcnejo te iz sanj. -Pa bomo ob takšnem pomirjevalu čutili trzljaj?; In čas sanj? -S tole zmesjo?; Kar vabi veliko pozornosti na nas. -Mar ni Cobb rekel, naj tega ne delamo?
 Aha, to je najbolj premeten del. Napravil sem takega, ki ne vpliva na funkcije ušesa.; Napravil sem takega, ki ne vpliva na funkcije ušesa.; Tako bomo dobili krasen, sinhroniziran trzaj.; Tole mislim, da je primerno za začetek. Uporabljam ga vsak dan.
 Tako bo, ne glede kako globok je spanec, speči potom ravnotežja vseeno zaznal padanje.; Tako bo, ne glede kako globok je spanec, speči potom ravnotežja vseeno zaznal padanje.; Pri treh nivojih globine, se bodo sanje zrušile ob najmanjši motnji.; Tako bomo dobili krasen, sinhroniziran trzaj.
 Ali nagibanje.; Ali nagibanje.; Ali uniči.; Veš, kam upaš, da te popelje.
 Trik je v sinhroniziranju trzaja, da lahko prodre vse tri nivoje.; Trik je v sinhroniziranju trzaja, da lahko prodre vse tri nivoje.; Tako bomo dobili krasen, sinhroniziran trzaj.; Vsak nivo se navezuje na del predmetove podzavesti, kamor skušamo priti.
 Za uskladitev različnih trzajev lahko uporabimo odštevanje z glasbo.; Za uskladitev različnih trzajev lahko uporabimo odštevanje z glasbo.; Trik je v sinhroniziranju trzaja, da lahko prodre vse tri nivoje.; Tako bomo dobili krasen, sinhroniziran trzaj.
 Nima predvideni nikakršne operacije, ne naročila pri zobarju, nič.; Nima predvidene nikakršne operacije, ne naročila pri zobarju, nič.; Ne vem če zmore, ampak vem, da noče.; Ne, da živim samo zanj.
 Naj ne bi imel operacije kolena? -Nič. Ničesar, kar bi ga izpostavilo snu.; Iz teh ne. Preveč je uspavan, da bi se prebudil na ta način.; Dober je v svojem poslu, drži? -Oh, najboljši. Nobene domišljije nima.; Trudila sem se, da se ne bi, toda... -Toda nič ni temu podobnega.
 Rabimo ... rabimo vsaj dobrih 10 ur.; Potrebujemo... Potrebujemo vsaj dobrih 10 ur.; Videti je, da smo si pridobili svojih 10 ur.; V primeru če ti bo dolgčas.
 Sydney - Los Angeles.; Sydney - Los Angeles.; In to.; Kavo.
 Eden najdaljših poletov na svetu. Opravlja ga na vsaka dva tedna.; Eden najdaljših poletov na svetu. Opravlja ga na vsaka dva tedna.; Turbulenca na letalu? -Ne, precej bližje je. Yusufova vožnja.; Čez 20 minut bomo pristali v Los Angelesu.
 In verjetno leti zasebno.; In verjetno leti zasebno.; Tu je tudi skoraj vse ostalo.; Pa še kako.
 Ne, če je njegovo letalo na nepričakovanem popravilu.; Ne, če je njegovo letalo na nepričakovanem popravilu.; Nisem prepričan, da je potrebno.; To pomeni, da ga moram najti.
 A biti mora 747. -Zakaj pa?; A biti mora 747. -Zakaj pa?; Nikoli celotne krajine. -Čemu ne?; Vsaj še nekaj časa ne, se spomniš? -Zakaj?
 Ker je v Boingu 747 pilotova kabina v nadstropju, prvi razred pa v nosu, tako nihče ne hodi skozenj.; Ker je v Boingu 747 pilotova kabina v nadstropju, prvi razred pa v nosu, tako nihče ne hodi skozi.; Ne, če je njegovo letalo na nepričakovanem popravilu.; 10 ur poleta je na tem nivoju en teden, kar pomeni, da bomo vsi in vsak ubiti.
 A kupiti morate cel razred. Pa ekipo za strežbo prvemu razredu.; A kupiti morate cel razred. Pa ekipo za strežbo prvemu razredu.; Tukaj ne voham pogodbe. Odpeljite ga dol.; Točno. A ideja ni vaša, ker veste, da sem vam jo dal jaz.
 Kupil sem letalsko družbo.; Kupil sem letalsko družbo.; Zato sem se odločil, da jo poiščem.; Mislim, da sem našel pot domov.
 Zdela se mi je poceni.; Zdela se mi je poceni.; Ni mi znana.; Le to sem hotela videti, kakšne teste tu sam počneš vsako noč.
 Videti je, da smo si pridobili svojih 10 ur.; Videti je, da smo si pridobili svojih 10 ur.; Arthur ima nekaj minut, mi jih imamo okrog 20.; Potrebujemo... Potrebujemo vsaj dobrih 10 ur.
 Ariadne? Mimogrede, krasen posel.; Ariadne? Mimogrede, krasen posel.; Ja, ja. Čisto v redu.; Aha, to je najbolj premeten del.
 Veš, kako me najdeš.; Veš, kako me najdeš.; Veš kako me najti.; Te dolgočasim.
 Veš, kaj moraš storiti.; Veš, kaj moraš storiti.; Veš, kaj moraš storiti.; Vem, kako si želiš domov.
 Se spomniš, ko si me zaprosil za poroko?; Se spomniš, ko si me zaprosil za poroko?; Oh, Mel... -Se spomniš, ko si me zaprosil za poroko?; Si me prišel ubit?
 Seveda se.; Seveda se.; Res je.; Ja, prav.
 Rekel si, da si sanjal.; Rekel si, da si sanjal.; Sedaj ne sanjaš, kaj?; Eames, to so tvoje sanje.
 Da se bova skupaj starala.; Da se bova skupaj starala.; Da bova spet lahko mladeniča.; Zato, ker bova skupaj.
 In lahko se.; In lahko se.; Seveda se.; A ga lahko. Torej...
 Ne bi smela biti tu.; Ne bi smela biti tu.; Da ne morem biti ti.; Izpustiti te moram.
 Le to sem hotela videti, kakšne teste tu sam počneš vsako noč.; Le to sem hotela videti, kakšne teste tu sam počneš vsako noč.; Škoda, res sem hotel vedeti, kaj se bo zgodilo tamle notri.; A potem moraš pokazati Arthurju kar sem pravkar videla.
 Karkoli že je, se te ne tiče. -Prav vse se me tiče.; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.; A to ti ni treba storiti sam. -Ne, ne, ne boš... -To delam za ostale.; Trudila sem se, da se ne bi, toda... -Toda nič ni temu podobnega.
 Prosil si me, naj delim sanje s tabo. -Pa ne teh.; Prosil si me, naj delim sanje s tabo. -Pa ne teh.; Le dovolj globoko moraš. -Tega ne veš.; A včasih se zdi, kot bi se ustvarjala sama od sebe, če več kaj mislim. -Ja, ja.
 To so moje sanje.; To so moje sanje.; Moram priti domov. To je zdaj moja edina skrb.; Jaz sem edina stvar, v katero še verjameš.
 Zakaj si to delaš? -Edini način je, da še lahko sanjam.; Zakaj si to počneš? -Edini način je, da še lahko sanjam.; In zakaj tega ne dovoliš? -Ker razkriva znake, da sanja.; Če so to moje sanje, zakaj jih ne morem nadzorovati? -Ker ne veš, da sanjaš!
 Zakaj ti je tako pomembno sanjati?; Zakaj ti je tako pomembno sanjati?; Zakaj ne moreš domov?; Zakaj vsi gledajo vame?
 V mojih sanjah sva še vedno skupaj.; V mojih sanjah sva še vedno skupaj.; Zato, ker bova skupaj.; Zato, ker bova skupaj.
 To niso le sanje.; To niso le sanje.; To so moje sanje.; Če so to sanje...
 Tvoji spomini so, in rekel si, naj se spominov nikoli ne uporablja.; Tvoji spomini so in rekel si, naj se spominov nikoli ne uporablja.; Nikdar, nikoli nisi opravil, kar sem zahteval.; Ne razumeš. To so trenutki, ki jih obžalujem in spomini, ki jih moram spremeniti.
 Vem, da sem. -Skušaš jo obdržati živo.; Vem, da sem. -Skušaš jo obdržati živo.; Le dovolj globoko moraš. -Tega ne veš.; Mal... -Pridi ven na polico, sicer bom skočila.
 Ne pustiš jo proč.; Ne pustiš jo proč.; Veš, kam upaš da te popelje, ampak, nisi povsem prepričan.; Res misliš, da jo bo zadržal.
 Ne razumeš. To so trenutki, ki jih obžalujem in spomini, ki jih moram spremeniti.; Ne razumeš. To so trenutki, ki jih obžalujem in spomini, ki jih moram spremeniti.; Je moja podzavest. Vedeti moraš, da je ne morem nadzorovati.; Ne morem več ostati z njo, ker ne obstaja.
 Oh, kaj pa je tam spodaj za čemer žaluješ?; Kaj pa je tam spodaj za čemer žaluješ?; Reči hočem, kaj je tam dol zate?; Sedaj ne sanjaš, kaj?
 Poslušaj, glede mene moraš razumeti le eno stvar.; Poslušaj, glede mene moraš razumeti le eno stvar.; Hočeš torej, naj še nekomu dopustim slediti v tvojo fantazijo.; Veš, pravzaprav imam vprašanje glede te razporeditve.
 Je to tvoja hiša? -Moja in Malina, ja.; Je to tvoja hiša? -Moja in Malina, ja.; Njuna mama sem. -Pomiri se. -Mar ne opaziš razlike?; Veš kam upaš, da te popelje. -Čakata naju!
 In kje je? -Je že ni več.; In kje je? -Je že ni več.; Nekje tu notri. -Da jo nekdo kot ti ne ukrade?; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.
 To je moj sin, James. Nekaj koplje, morda črva.; To je moj sin, James. Nekaj koplje, morda črva.; Se ne spomnim. Poglejva, če bo začel streljati.; Ne bom. Saito je sedaj že mrtev, kar pomeni, da je nekje tu spodaj.
 Ta je Phillipa.; Ta je Phillipa.; Ne, ona je...; Misliš, da on je?
 Mislil sem ju poklicati, da se obrneta in nasmehneta, da bi lahko videl njuna prelepa obraza, ampak ...; Mislil sem ju poklicati, da se obrneta in nasmehneta, da bi lahko videl njuna prelepa obraza, ampak...; Če hočem še kdaj videti njuna obraza, se moram vrniti domov.; Da, a rad bi ju videl tam zgoraj, Mal.
 Za vse je prepozno.; Za vse je prepozno.; Večji so problemi, močnejša je katarza.; Ne moremo se več kosati.
 Zdaj ali nikoli, Cobb.; Zdaj ali nikoli, Cobb.; Zdaj ali nikoli, Cobb.; Eames, to so tvoje sanje.
 Potem me je zgrabila panika. Spoznal sem, da bom obžaloval ta trenutka ko ...; Potem me je zgrabila panika. Spoznal sem, da bom obžaloval ta trenutek ko...; Želel bi si bolj kot karkoli, toda...; Zato sem pobegnil...
 Še zadnjič moram videti njuna obraza. -James! Phillipa! Pridita noter!; Še zadnjič moram videti njuna obraza. -James! Phillipa! Pridita noter!; Vlak, ki te bo odpeljal daleč proč. -James in Phillipa čakata nate!; Veš kam upaš, da te popelje. -Čakata naju!
 A trenutek je minil.; A trenutek je minil.; In komaj je govoril.; Končno mi je povedala resnico.
 In karkoli storim, ga ne morem spremeniti.; In karkoli storim, ga ne morem spremeniti.; In ne glede kaj storim, ne glede kako obupan sem, kako zmeden, je ta krivda vedno prisotna.; To pomeni, da ga moram najti.
 Nameravam ju poklicati ... pa zbežita.; Nameravam ju poklicati... pa zbežita.; Če hočem še kdaj videti njuna obraza, se moram vrniti domov.; Če grem brez tebe, jih bodo vseeno odvedli.
 Če hočem še kdaj videti njuna obraza, se moram vrniti domov.; Če hočem še kdaj videti njuna obraza, se moram vrniti domov.; Veš, kaj moram storiti. Moram se vrniti k najinima otrokoma, ker si ju zapustila.; Mislil sem ju poklicati, da se obrneta in nasmehneta, da bi lahko videl njuna prelepa obraza, ampak...
 V resnični svet.; V resnični svet.; V to smer.; Z drugačnim zasledovalcem.
 Kaj počneš tu?; Kaj počneš tu?; Kaj počneš?; Vidiš?
 Ime mi je ... -Vem kdo si. Kaj delaš tukaj?; Ime mi je... -Vem kdo si. Kaj delaš tukaj?; Vem, kje jo najdem. Imela bo Fischerja. -Kako veš?; To nima veze z mano. Razumeš? -Me zato rabiš za gradnjo svojih sanj?
 Samo razumeti skušam. -Le kako bi mogla razumeti?; Samo razumeti skušam. -Le kako bi mogla razumeti?; Le dovolj globoko moraš. -Tega ne veš.; Nič ti ni. Hej? -Zakaj... Kako, da se nisem zbudila?
 Veš vsaj, kako je biti ljubica?; Veš vsaj, kako je biti ljubica?; Veš kako me najti.; Veš, kako me najdeš.
 Biti polovica celote?; Biti polovica celote?; Postati stara duša, spet vrnjena v mladost...; Sanje znotraj sanj? Dva nivoja?
 Ne.; Ne.; Ne.; Ne.
 Zastavila ti bom uganka.; Povedala ti bom uganko.; Veš kako me najti.; Bog, zakaj se je tako težko spomniti.
 Čakaš na vlak. Vlak, ki te bo odpeljal daleč proč.; Čakaš na vlak. Vlak, ki te bo odpeljal daleč proč.; Vlak, ki te bo odpeljal daleč proč.; Tu je. In čas je, ampak, takoj moraš priti!
 Veš, kam upaš da te popelje, ampak, nisi povsem prepričan.; Veš, kam upaš da te popelje, ampak, nisi povsem prepričan.; Ampak, nisi povsem prepričan.; Veš, kam upaš, da te popelje.
 Pa saj ni važno. Kako to, da ti ni pomembno, kat te bo vlak odpeljal?; Pa saj ni važno. Kako to, da ti ni pomembno, kam te bo vlak odpeljal?; Ježeš. Bi rekel svoji podzavesti, naj se malo kontrolira?; Nič ti ni. Hej? -Zakaj... Kako, da se nisem zbudila?
 Zato, ker bova skupaj.; Zato, ker bova skupaj.; Zato, ker bova skupaj.; Da se bova skupaj starala.
 Le kako si jo lahko privedel sem, Dom? -Kaj je ta prostor.; Le kako si jo lahko privedel sem, Dom? -Kaj je ta prostor.; Predsoba je. Še močneje zaščitena. -Pa ima ta predsoba soba kaj oken?; Kombinacijo hočemo. -Za noben sef ne vem.
 Hotelska soba, kjer naj bi preživela najino obletnico poroke.; Hotelska soba, kjer naj bi preživela najino obletnico poroke.; Hiša, v kateri je Mal odraščala.; Tole je najino prvo stanovanje, nato pa sva se preselila v zgradbo tamle.
 Kaj se je tu zgodilo?; Kaj se je tu zgodilo?; Kaj se dogaja tam zgoraj?; Kaj se dogaja?
 Obljubil si! Obljubil si, da bova skupaj!; Obljubil si! Obljubil si, da bova skupaj!; Rekel si, da bova skupaj! Rekel si, da se bova skupaj starala!; Povej mi zakaj! -Zato, ker bova skupaj!
 Prosim, moraš ostani tukaj! Vsaj za zdaj!; Prosim, moraš ostani tukaj! Vsaj za zdaj!; Ne izgubi se! Poišči Saita in ga privedi nazaj!; Tu je. In čas je, ampak, takoj moraš priti!
 Rekel si, da bova skupaj! Rekel si, da se bova skupaj starala!; Rekel si, da bova skupaj! Rekel si, da se bova skupaj starala!; Obljubil si! Obljubil si, da bova skupaj!; Povej mi zakaj! -Zato, ker bova skupaj!
 Vrnil se bom pote.; Vrnil se bom pote.; Vrnil se bom...; Vrnil sem se pote...
 Obljubim.; Obljubim.; Veš, kako me najdeš.; Ne ne bom. Poslušaj me.
 Misliš, da lahko enostavno zgradiš zapor iz spominov, da bi jo zaklenil vanj.; Misliš, da lahko enostavno zgradiš zapor iz spominov, da bi jo zaklenil vanj.; Imaš dve minuti za oblikovanje labirinta, za čigar rešitev je potrebna ena minuta.; Imaš opravka z raznimi političnimi motivi, s težnjami proti nameščanju in tako dalje.
 Res misliš, da jo bo zadržal.; Res misliš, da jo bo zadržal.; Ne pustiš jo proč.; Moral jo boš imeti pod nadzorom.
 Čas je.; Čas je.; Ne, prezgodaj je še.; Za vse je prepozno.
 Maurice Fischer je pravkar umrl v Sydneyu.; Maurice Fischer je pravkar umrl v Sydneyu.; Mauricova oporoka je v odvetniški hiši Port & Dunn.; Njegov sin bo kmalu nasledil nadzor nad korporacijo.
 Kdaj je pogreb? -V četrtek, v Los Angelesu.; Kdaj je pogreb? -V četrtek, v Los Angelesu.; Kam boš krenil? -V Buenos Aires.; Izmislila si je načrt. Na obletnico najine poroke.
 Robert trupla ne bo mogel prevzeto pred torkom. Kreniti moramo.; Robert trupla ne bo mogel prevzeti pred torkom. Kreniti moramo.; Žilav je... Ne vem... -Cobb, pridi. Poizkusiti morava.; Saita skušam še malce zadržati v spanju. Skoraj smo že opravili.
 Prav.; Prav.; Prav.; Prav.
 Cobb, s tabo grem. -Obljubil sem Mal. Ne.; Cobb, s tabo grem. -Obljubil sem Mal. Ne.; Čakajoč na samotno smrt. -Ne...; Nisem vedel, da bo drgnil svojo prekleto glavo ob njo. -Dovolj bo.
 Zaradi potrebe po nekom, ki bo razumel s čem se boriš.; Zaradi potrebe po nekom, ki bo razumel s čem se boriš.; Ker moja podzavest čuti, da še nekdo drug ustvarja ta svet.; Izziva te, da zgradiš nekaj zase...
 Ni nujno, da sem to jaz.; Ni nujno, da sem to jaz.; Nisem prepričan, da je potrebno.; To pomeni, da ga moram najti.
 A potem moraš pokazati Arthurju kar sem pravkar videla.; A potem moraš pokazati Arthurju kar sem pravkar videla.; Le to sem hotela videti, kakšne teste tu sam počneš vsako noč.; Skočila bom in ti boš skočil z mano.
 Preskrbi nam še en sedež na letalu.; Priskrbi nam še en sedež na letalu.; Arthur ima nekaj minut, mi jih imamo okrog 20.; Slediva mu in poglejva, kako se obnaša.
 Če se vkrcam na letalo, vi pa ne izpolnite najinega dogovora, bom ob pristanku odšel v zapor do konca življenja.; Če se vkrcam na letalo, vi pa ne izpolnite najinega dogovora, bom ob pristanku odšel v zapor do konca življenja.; Ljudi, za katere verjamem, da lahko za vedno uredijo moje obtožbe.; Ti ljudje naju bodo ubili, če jim ne izdava kombinacije.
" Zaključite posel na krovu. Iz letala bom opravil telefonski klic; ne boste imel nobenega problema pri prečenju meje."; Zaključite posel na krovu. Iz letala bom opravil telefonski klic, ne boste imel nobenega problema pri prečkanju meje.; Pojdita! Če vaju ne bo nazaj do trzaja, grem z vama ali brez.; Le se vrnite se pred trzajem. Pojdi spat, gospod Eames.
 Tretji sedež na desni. -Hvala.; Tretji sedež na desni. -Hvala.; Tvoje priznanje je vedno cenjeno, Arthur. Hvala.; Poslušaj, iti moram. V redu. Taksi! Hvala.
 Saj dovolite. -Pa ja, se opravičujem.; Saj dovolite. -Ja, se opravičujem.; Imate, po kar ste prišli. -No ja, ne bo držalo.; Oh, oprostite. Zamenjal sem vas za prijatelja. -No...
 Oprostite, je to vaše? Verjetno vam je padlo.; Oprostite, je to vaše? Verjetno vam je padlo.; Morda pa ne želite videti.; Ni problema. Kaj pravite na brhko damo, ki sem jo že koristil?
 Gospodje, vam smem postreči pijačo? -Vodo, prosim.; Gospodje, vam smem postreči pijačo? -Vodo, prosim.; Za kaj? -Pokazal vam bom.; Nimamo časa. -Ne, a tam spodaj ga bo zadosti.
 Isto bi.; Ne, draga.; No, se vidiva.; Vidiš?
 Hvala.; Hvala.; Hvala.; Najlepša hvala.
 Veste, nisem mogel spregledati, toda, da niste slučajno v sorodu ...; Veste, nisem mogel spregledati, toda, ali ste slučajno v sorodu...; Oh, oprostite. Zamenjal sem vas za prijatelja. -No...; Mislil sem ju poklicati, da se obrneta in nasmehneta, da bi lahko videl njuna prelepa obraza, ampak...
 z Mauricem Fischerjem? -Da, on ...; Z Mauricem Fischerjem? -Da, on...; Jaz sem starec...; Ni bila moja napaka. -Ti si arhitekt.
 Bil je moj oče.; Bil je moj oče.; Fischer-Morrow je bil vse moje življenje.; Skupaj sva bila mladeniča.
 Bil je zelo navdihujoča osebnost. Sožalje ob vaši izgubi. - Gospod ...; Bil je zelo navdihujoča osebnost. Sožalje ob vaši izgubi. -Gospod...; Zakaj si to storila? -Ljubim te, Dom.;" Potrebujemo kaj boljšega od le ""morda"". -Hvala ti za sodelovanje, Arthur."
 Izvolite. -Hvala. -Hej ...; Izvolite. -Hvala. -Hej...; Daj, daj...; Očka? -Ja, James?
 Na vašega očeta.; Na vašega očeta.; Z drugačnim zasledovalcem.; V resnični svet.
 Naj počiva v miru.; Naj počiva v miru.; Tvoje priznanje je vedno cenjeno, Arthur. Hvala.; In to bom tudi storil, stric Peter.
 Nisi mogel scat preden smo prišli sem. -Oprosti.; Nisi mogel scat preden smo prišli sem. -Oprosti.; Fischer, ti boš šel z njim. -Prav.; Pojdi preverit, če je res, Ariadne. -Cobb, tega ne moreš storiti.
