sentence1;setnence1;setnence2;setnence3
 On je bojevnik? Zlahka bi ga ubil.; Zlahka bi ga ubil. Ne!; Zlahka bi ga ubil.; Brat, ne napadaj ljudi z neba. Veliko Omaticay bi umrlo.
 Ne!; Ne!; Ne!; Ne!
 To je prvi bojevnik, ki smo ga srečali med vsemi prišleki.; To je prvi bojevnik sanjehodcev, ki ga vidimo.; Sovražnik je tam zunaj in zelo močan je.; Videli smo samo, kako je ta marinec izginil v grmovju, ko ga je lovil razdražen thanator.
 Moramo izvedeti več o njem.; Torej ga moramo ustaviti.; Bolje ga moramo spoznati.; Natančne slike bomo potrebovali.
 Hčerka...; Pale je samica.; Hej, vidva.; To je mati.
 učila ga boš o našem življenju, da bo govoril in se obnašal kot mi.; Hčerka, ti ga boš učila naših navad.; Odločeno je. Moja hči te bo učila naših navad.; Potem bomo videli, ali je tvoja blaznost ozdravljiva.
 Zakaj jaz? Ni pošteno. -Odločila sem se!; Pomirite se! –Ne, prosim.; Daj no, to je … –Nehajta.; Max! –Nehati moram.
 Odločeno je.; V redu je.; V redu je.; Dobil sem odobritev. Dogovorjeno je.
 Moja hčerka te bo učila o našem življenju.; Odločeno je. Moja hči te bo učila naših navad.; Hčerka, ti ga boš učila naših navad.; Brez tebe mi ne bo uspelo.
 Dobro se uči, Jake Sully.; Dobro se uči, Jakesully.; Peyral je dobra lovka.; Hej, vidva.
 Videli bomo, če lahko ozdravimo tvojo norost.; Potem bomo videli, ali je tvoja blaznost ozdravljiva.; Če se boš izkazal, ti bom priskrbel noge.; Odločeno je. Moja hči te bo učila naših navad.
 Dober večer.; Dober večer.; Dobrodošli v taboru.; Lahko noč.
 Prosim, ne vstajajte.; Tiho, prosim! Ugasnite luči.; Dovolite mi, da jih prepričam.; Pojdimo, vas se zgodaj prebudi.
 Oprosti.; Oprostite.; Izvoli.; Vidim te.
 Hej, kako kaj gre?; Kaj pa si?; Kaj za vraga delaš, Jake!; Jake, me slišiš?
 Jake. -Prihaja k sebi.; Sully je.; Oče, vidim te.; Hej, vidva.
 Pridi nazaj, mali. Daj, tako je prav.; Vrni se, fant. Tako, ja.; Tako je. Steci nazaj k mamici.; Gremo, posebni primer. Ne bom te čakal.
 Tukaj si.; Zdaj si Omaticaya.; Pripravljen si.; Kot otroček si.
 Govoril si kot navit.; Presneto! Držal si se kot klop.; Razočaral si me.; Prevzel si pobudo.
 Je avatar na varnem? -Ja, doktorica.; Jake, daj no. –Poslušaj me.; Norm, si v redu? –Ja.; Hej, vidva.
 Ne boste verjeli, kje sem.; Ne boste verjeli, kje sem.; Ne vem več, kdo sem.; Ne, uspelo mi bo.
 Zadnje, kar smo videli, je bila rit tega marinca, kako izginja med grmovjem, medtem ko ga lovi lačen thanator.; Videli smo samo, kako je ta marinec izginil v grmovju, ko ga je lovil razdražen thanator.; To je prvi bojevnik sanjehodcev, ki ga vidimo.; Za tisto ograjo so plazeča se, leteča in čepeča bitja, ki vas hočejo ubiti in vam požreti oči.
 To ni nekaj, česar se lahko naučite.; Tega nočete imeti na vesti, verjemite.; Če hočete preživeti, morate biti psihično trdni.; Če jih boste hoteli napasti, ne bo lahko.
 Iz vzrokov, ki jih nikakor ne razumem so te sprejeli Omaticaya.; Na'vi to vedo, zato ga branijo.; To me ne bi motilo, če ne bi bili … Lahko kdo … Sektor 12.; Rekel sem, da sanjehodci ne smejo sem.
 Bog naj nam pomaga.; Usliši nas, mati vsega.; Naj spet hodi med nami kot ena od nas.; Iz neznanega razloga so Omaticayi izbrali tebe. Bog se nas usmili.
 Vojni klan?;" ""Klan marincev""?"; Bojevnik!; Šef.
 Pa je delovalo?; Je uspelo?; Je to mogoče?; Je to res?
 Sem že član družine.; Lahko se bom dogovoril o selitvi.; Vendar potrebujem pomoč.; Konji mi ne ležijo preveč, za to pa sem rojen.
 Hočejo me proučevati, moram se naučiti, da bom eden izmed njih.; Če to storim, bom eden od njih.; Preučevali me bodo. Postal bom eden od njih.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.
 Temu se reče prevzeti iniciativo, sinko. Želim si še deset takih, kot si ti.; Max, ostani tu. Potrebujem nekoga, ki mu zaupam.; Vem, kdo si. Ne potrebujem tebe, ampak tvojega brata.; Gremo, posebni primer. Ne bom te čakal.
 Sully, ti samo ugotovi, kaj te modre opice hočejo.; Wainfleet, končaj že.; Povej jim, da bodo kmalu tu.; Sully, spoznaj te divjake, pridobi njihovo zaupanje.
 Poskusili smo jim dati medicino, izobrazbo, ceste, ampak ne, njim je všeč blato.; Hoteli smo jim dati zdravila, izobrazbo, ceste … Ampak ne. Raje imajo blato.; Nič takega nimamo, kar bi jih mikalo.; Zgradili smo jim šolo, učimo jih angleško.
 Mene to ne moti, je pa tako, da so...; Tako se to dela.; Nič takega nimamo, kar bi jih mikalo.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Bi lahko kdo...? Sektor dvanajst.; To me ne bi motilo, če ne bi bili … Lahko kdo … Sektor 12.; Ali največji.; Veliko časa bova preživela tu. Zdravo. Kako ste? Norm, upravljavec avatarja.
 Ustavi. -Ustavi.; Počasi.; Ustavi tule.; Čakaj.
 Ustavi. To je genialno.; Jebeš to.; Avatarski program je bedarija. Trop nesposobnih znanstvenikov.; Prekleto.
 Njihova presneta vas slučajno stoji na največji zalogi unobtaniuma v razdalji dvesto kilometrov.; Na'vi to vedo, zato ga branijo.; Zunaj se domorodske horde zbirajo za napad.; Sovražniki verjamejo, da njihovo gorsko oporišče varuje njihovo … Njihovo božanstvo.
 Poglej si to zalogo.; Poglej to sveže meso.; Poglej svet, od koder prihajamo.; Poglej to.
 Kdo jih bo spravil proč? -Ugibaj.; Kdo jih bo preselil? –Ugani.; Daj no, to je … –Nehajta.; Ne glej je v oči.
 Kaj pa, če ne bodo hoteli proč?; Kako bodo vedeli, da smo tu?; Ne bodo se pogodili.; Ampak to se ne bo zgodilo.
 Stavim, da bodo hoteli.; Tja bomo šli.; Ampak to se ne bo zgodilo.; Gotovo nas že opazujejo.
 Ubijanje domorodcev izgleda slabo.; Pale je samica.; Imajo velike palete razstreliva.; To je moj zadnji video dnevnik.
 Delničarji pa nekaj sovražijo še bolj kot slabe novice v poročilih.; Težko je verjeti, da so minili samo trije meseci.; Ti butci ne dojamejo sporočila.; Ker je kila tega vredna 20 milijonov.
 To je slabo poročilo o poslovanju. Nisem si jaz izmislil pravil.; Ubijati domorodce ni lepo, ampak delničarji še bolj kot slabo publiciteto sovražijo slabo četrtletno poročilo. Nisem jaz pisal pravil.; Zakaj jaz? To ni pošteno.; To ni prav.
 Zato mi najdi korenček, ki jih bo spravil proč.; Povej jim, da bodo kmalu tu.; Najdi korenček, ki jih bo zvabil stran.; Če se boš izkazal, ti bom priskrbel noge.
 Drugače bo moral on opraviti s palico. Prav?; Zlahka bi ga ubil. Ne!; Človek, ne!; Kaj za vraga delaš, Jake!
 Tri mesece časa imaš, potem pridejo tja buldožerji.; Tri mesece imaš. Potem pridejo buldožerji.; Tako se to dela.; Če jo izgubiš, si v 20 sekundah nezavesten, v štirih minutah mrtev.
 Torej ne izgubljajmo časa.; Ne pozabi fazne integracije.; Še lahko rešimo položaj.; Opravimo to, ljudje.
 Všeč mi je ta fant.; Všeč mi je.; Da bi bil spet lep. Ampak všeč mi je tako.; To je bilo enkratno.
 Prav, poglejmo še enkrat.; V redu, začnimo.; Poskusimo še enkrat.; Zdaj bi … –Poglejmo jih še enkrat.
 Moat, zmajeva gospa.; Jezdec zadnje sence.; Eywa, vir vse energije.; Demon v lažnem telesu.
 Eytuken. -Eytukan.; Eytucan. –Eytukan. Vodja klana.; Tsaheylu.; Mojbog.
 On je vodja klana, ona pa je duhovna voditeljica.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.; Z Neytiri se moraš hitro učiti, drugače umreš.; Na'vi to vedo, zato ga branijo.
 Neke vrste šaman. -Razumem.; Razumem.; Razumem.; Razumem.
 Tsutey. -Tsu'tey.; Tsu'tey. –Tsu'tey.; Tsaheylu.; Tsu'tey, nikar.
 On bo naslednji vodja klana.; To je prvi bojevnik sanjehodcev, ki ga vidimo.; Na'vi to vedo, zato ga branijo.; Tsu'tey. –Bodoči vodja klana.
 Neytiri. -Ona bo naslednji Tsahik.; Tsu'tey. –Bodoči vodja klana.; Zdaj si Omaticaya.; Tvoj duh gre k Eywi.
 Ta dva se bosta poročila.; Še več ljudi z neba bo prišlo.; Čez nekaj ur bosta zunaj.; Ta butec bo umrl.
 Kdo pa je Eywa? -Kdo je Eywa?; Kdo je Eywa?; In Eywa? –Kdo je Eywa?; To bitje … Zakaj si ga pripeljala sem?
 Samo njihovo božanstvo, boginja, ki je ustvarila vsa živa bitja, vse, kar poznajo. To bi vedel, če bi imel vsaj malo treninga.;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."; Če sem jim hotel še kdaj stopiti pred oči, sem moral storiti nekaj velikega.; Zdaj je vse obrnjeno. Kot da je tam zunaj resnični svet, to tukaj pa sanje.
 Kdo pa gre na zmenek s poglavarjevo hčerko?; Kdo ima zmenek s poglavarjevo hčerko?; Kdo je Eywa?; Naj torej plešem z njim?
 Gremo, v vasi zgodaj vstajajo.; Pojdimo, vas se zgodaj prebudi.; Živijo, Jake, v Eywi.; Vsi v gozd.
 Ne naredi česa izjemno neumnega.; Ne stori ničesar izjemno neumnega.; Potem pa stori to.; Ne glej je v oči.
 Mirno, fant.; Mirno, fant.; Mirno, punca.; Mirno, ljudje.
 Ženska je.; Duhovna voditeljica pa je ona. Vračka.; Vidim te.; Vidim te.
 Mirno, dekle.; Mirno, fant.; Mirno, punca.; Mirno, ljudje.
 To je Sa'helu, zveza.; Živijo, Jake, v Eywi.; Zdaj si Omaticaya.; Na'vi to vedo, zato ga branijo.
 Občuti jo.; Začuti jo.; Začuti njen utrip. Njeno dihanje.; Razumem. Vidim jo.
 Občuti bitje njenega srca.; Začuti jo.; Začuti njen utrip. Njeno dihanje.; Razumem. Vidim jo.
 Njen dah.; Začuti njen utrip. Njeno dihanje.; Tamle je tvoj.; Z mislimi.
 Občuti njene močne noge.; Začuti jo.; Začuti njen utrip. Njeno dihanje.; Njene močne noge.
 Lahko ji poveš, kaj naj naredi, v glavi.; Lahko ji ukažeš, kaj naj dela.; Če dovoliš, bi rad nekaj povedal.; In lahko si izbereš žensko.
 Zdaj ji povej, naj gre naprej.; Za zdaj ji povej, kam naj gre.; Nadaljuj, umaknil se bo.; Povej jim, da bodo kmalu tu.
 Naprej.; Naprej!; Počasi.; Tja!
 Raje pojdi proč.; Ustavi se malo.; Nimaš samo ti orožja, prasica.; Prebudi se.
 Potem pa me boš pogrešal.; Mogoče te bom kar poljubil.; Brez tebe mi ne bo uspelo.; Veš, da se bom.
 Vedel sem, da govoriš naš jezik.; Vedel sem, da znaš angleško.; Upal sem, da boš to rekel.; Pogumen si, da si prišel sem.
 Čas izgubljaš z njim, še kamen bi se prej naučil.; To ti najbrž ne bo težko.; Z Neytiri se moraš hitro učiti, drugače umreš.; Ne potrebujem trota, ki rad strelja.
 Kar poglej ga.; Wainfleet, končaj že.; V redu, v redu. Poglej.; Saj ti je že.
 Še enkrat.; Še enkrat.; Z veseljem.; Saj ti je že.
 Če boste hoteli to zadevo napasti, ne bo enostavno.; Če jih boste hoteli napasti, ne bo lahko.; Tega nočete imeti na vesti, verjemite.; Ves čas se zavedajte tega.
 Vaše skeniranje ne pokaže notranje strukture.; Slika ne kaže notranje zgradbe.; Natančne slike bomo potrebovali.; Tu se povežemo z avatarjem.
 Tukaj je zunanja vrsta zelo močnih stebrov.; Tu je deset na dvanajsto dreves.; Imajo zunanji obroč stebrov.; Slika ne kaže notranje zgradbe.
 Tam je še drug obroč in še eden notranji.; Tu je deset na dvanajsto dreves.; Mislim, da je drugi obroč nosilen.; To je soba z linki.
 V jedru je struktura v obliki spirale.; Imajo zunanji obroč stebrov.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.; Slika ne kaže notranje zgradbe.
 Tako se premikajo gor in dol.; Lahko prenašajo podatke, spomine.; Ti butci ne dojamejo sporočila.; Razen če jih ustavimo.
 Potrebovali bomo natančne podatke o vsakem stebru.; Natančne slike bomo potrebovali.; Delali bomo z mobilnim linkom na lokaciji 26, v gorah.; Tak marinec bi lahko pridobil informacije na terenu.
 Razumem.; Razumem.; Razumem.; Razumem.
 Kaj nam še lahko poveš o strukturi?; Kaj še lahko poveš o zgradbi?; Kaj to pomeni?; Kaj ti je šlo po glavi?
 Domnevam, da je ta drug obroč nosilni.; Mislim, da je drugi obroč nosilen.; Verjetno se pogovarjam z drevesom.; Tu se povežemo z avatarjem.
 kam gremo?; Kam greva?; Kako bodo vedeli, da smo tu?; Kje je laboratorijska halja?
 Odhajamo proč.; Gremo.; Gremo.; Gremo.
 Ne bom dovolila, da Selfridge in Quaritch vodita celotno zadevo.; Ne dovolim, da se Selfridge in Quaritch vmešavata.; Če ne bi prišla, bi bilo po meni.; Opravil bom s čim manj žrtvami med domorodci.
 Na položaju 26 je prenosna postaja, delamo lahko tam, visoko v planinah.; Delali bomo z mobilnim linkom na lokaciji 26, v gorah.; To je soba z linki.; Njihovi instrumenti tu ne bodo delali. Sledilne naprave tudi ne.
 V planinah Aleluja?; V gorovju Aleluja?; Si se izgubil v gozdu?; Je uspelo?
 Tako je. -Resno mislite?; Pazi! –Pardon.; Reci, da se šališ.; Hej, vidva.
 Ja. -Ja!; Ja. –To!; Ja!; Tako!
 Legendarne lebdeče planine Pandore, nisi še slišal za njih?; Legendarne plavajoče gore. Si slišal zanje?; Si se izgubil v gozdu?; V gorovju Aleluja?
 Blizu smo že.; Gotovo nas že opazujejo.; Bližamo se.; Tam smo.
 Ja, poglej moje naprave.; Poglej moje instrumente.; Poglej to.; Poglej ga.
 Smo v energetskem vrtincu.; Torej ga moramo ustaviti.; Čas zapravljamo.; Bolje ga moramo spoznati.
 Zdaj smo na VFR. -Kaj je VFR?; Kaj to pomeni?; Kakšna logika je to?; Je to res?
 Pomeni, da moraš videti kam greš.; Lahko ji ukažeš, kaj naj dela.; Tako se to dela.; Toda prej ali slej se moraš zbuditi.
 Ampak nič se ne da videti. -Točno tako.; Neverjetno, kaj? –Ja.; Norm, si v redu? –Ja.; Norm, ti boš spodaj. –Prav.
 Ni to zajebano?; Jebeš to.; Prekleto.; Dobro.
 O moj bog...; O bog.; Hej, vidva.; Oče, vidim te.
 Morali bi videti svoje obraze.; Morali bi videti svoje obraze.; Toda prej ali slej se je treba zbuditi.; Da moramo videti, kje letimo.
 Hvala, da ste leteli z družbo Pandora.; Hvala, ker ste leteli z Air Pandoro.; Vem, da najbrž ne razumeš, ampak hvala.; Poletite z mano!
 Dobrodošli v tabor.; Dobrodošli v taboru.; Dober večer.; Dobrodošel.
 To je moja omarica. -Ta stvar je grozna.; Jake, daj no. –Poslušaj me.; To je nevarno. –Super je.; Ježeš. Pardon. –Pazi!
 Norm, ti boš spodaj.; Jake, Eywa te je slišala.; Poglej, kje sva, Grace.; Zdaj sem s tabo, Jake.
 Grace ni nič ušlo.; Nihče mu ni nič mogel.; Toruk macto je bil mogočen.; Zato je bila prijazna.
 Vedela je, da sem govoril s polkovnikom.; Vedela je, da govorim s polkovnikom.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.; Mo'at sem vprašal, ali bi spustila Grace v vas.
 Ampak jaz sem imel to, kar je potrebovala, pot nazaj v klan.; Če ne bi prišla, bi bilo po meni.; Ampak tudi ta ženska mora izbrati mene.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
 Zato se je obnašala prijazno.; Zato je bila prijazna.; Vedela je, da govorim s polkovnikom.; Če sem kot otrok, bi me morala podučiti.
 Jake, levo.; Zdaj si sin Omaticaye.; Podoben mu je.; Zdaj je pri Eywi.
 Ti boš v povezavi na koncu.; Zavij levo. V linku na koncu boš.; To je zdaj tvoj avatar, Jake.; To ti najbrž ne bo težko.
 Enota ena, Bueler.; Enota 1, Beulah. Najmanj nagaja.; Mojbog.; Mojbog.
 Ta ima še najmanj napak.; Edina težava je, da nisi edini.; Za vašega brata gre.; Ti butci ne dojamejo sporočila.
 Sveto sranje.; Sranje.; Sranje.; Prekleto.
 Ne glej ji v oči.; Ne glej je v oči.; Ne stori ničesar izjemno neumnega.; Ne igraj se s tem, oslepel boš.
 Ikran ni konj.; Ikran ni konj.; Čakaj.; Počasi.
 Ko se vzpostavi Sa'helu bo Ikran letel dobro.; Na'vi to vedo, zato ga branijo.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.; Brat, ne napadaj ljudi z neba. Veliko Omaticay bi umrlo.
 Ampak samo z enim lovcem v celem življenju.; Ali nekaj takega.; Ker dvojček sploh obstaja in ker ni ustni higienik.; Ali največji.
 Da postaneš Aron'yu, lovec moraš izbrati svojega lastnega Ikrana in on mora izbrati tebe.; Če hočeš postati taronyu, lovec, moraš izbrati svojega ikrana in on mora izbrati tebe.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Kdaj? -Ko boš pripravljen.; Kdaj? –Ko boš pripravljen.; Gremo, posebni primer. Ne bom te čakal.; Pripravljen si.
 To je video dnevnik dvanajst.; To je soba z linki.; Za vašega brata gre.; Tu se povežemo z avatarjem.
 Ura je 21:32.; Ura je 21.32.; Kdaj? –Jutri ob 6.00.; Pri tarči bomo čez eno minuto.
 Res moram to narediti zdaj? Potrebujem malo počitka.; Moram zdaj? Res se moram naspati.; Nimam časa vso noč.; Moram poskusiti.
 Ne, zdaj, ko še je sveže.; Zdaj, dokler je sveže.; Zdaj se ne več.; Saj ti je že.
 Lokacija, koliba.; V redu. Lokacija: koča.; Tarčo vidim. Razdalja: 4 km.; Imam pet ujemanj. Ujemanje 90 %.
 Te dni začenjajo stvari dobivati smisel.; Ostanite na položajih. Nekaj se bliža.; Začeli bomo lepo počasi.; Še več ljudi z neba bo prišlo.
 Jezik je še vedno težaven, ampak...; Wainfleet, končaj že.; Tako se to dela.; To je zelo dolgo. –Ja.
 Ugotovil sem, da je kot razstavljanje orožja. Vse je stvar ponavljanja.; Jezik je naporen, ampak podobno je razstavljanju orožja. Eno samo ponavljanje.; Kar delam tu, je zapravljanje časa.; Zdaj je vse obrnjeno. Kot da je tam zunaj resnični svet, to tukaj pa sanje.
 Brez skrbi, močneje.; Ali največji.; Enkratno.; Ali nekaj takega.
 Neytiri mi pravi scoun.; Peyral je dobra lovka.; Nimaš samo ti orožja, prasica.; Pazi, vozičkar.
 To pomeni bedak.; Za vašega brata gre.; Nisi vajen svojega avatarja.; Saj to ni res!
 Normovo obnašanje se zadnje čase popravlja.; Jake Sully končuje poročilo.; Nato pa se je vse spremenilo.; Zaščita se še vedno maje.
 To ne pomeni samo, da te vidim pred seboj, ampak, da vidim v tebe...;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.
 Lepo, da zopet sodelujeva, ampak tudi on misli, da sem scoun.; Nisem več pri marincih, ampak nastrojenost ostane.; Upam, da teh bedarij ne bo na končnem izpitu.; Navsezadnje je moj rojstni dan.
 Teči moraš, prav?; Kaj pa si?; Moram zdaj? Res se moram naspati.; Boš naredil to zame?
 Gremo.; Gremo.; Gremo.; Gremo.
 Postajam močnejši.; Mož beseda sem.; Sprožam.; Sprožam.
 Vsak dan lahko tečem dalj.; Stopala so se mi okrepila. Vsak dan tečem dlje.; Pet let se že učim, a se moram še veliko.; Konji mi ne ležijo preveč, za to pa sem rojen.
 Moram zaupati mojemu telesu, da ve, kaj mora narediti.; Zaupati moram svojemu telesu.; To moram končati.; Konji mi ne ležijo preveč, za to pa sem rojen.
 Pa poskusimo.; Poskusimo še enkrat.; V redu, začnimo.; Malce ga bomo opraskali.
 Presneto.; Mojbog.; Mojbog.; Mojbog.
 Vsak dan je branje sledi, opazovanje divjine, najslabši vonji in zvoki.; Poskušam dojeti njihovo globoko vez z gozdom.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.; V drevesu so družine, otroci.
 Vedno govori o pretoku energije, o živalskih duhovih.; Kar naprej govori o pretoku energije in živalskih duhovih.; Opominja me na to, kaj je tam zunaj.; Pravi, da je energija samo sposojena in da jo moraš nekoč vrniti.
 Res upam, da to objemanje dreves ni vse.; To ti najbrž ne bo težko.; Ne, uspelo mi bo.; Upam, da teh bedarij ne bo na končnem izpitu.
 Tukaj ne gre samo za koordinacijo med očmi in rokami.; Ne gre samo za koordinacijo oči in rok.; To je več povezav kot v človeških možganih.; Ja, dokumentirati moramo, kaj vidimo in čutimo.
 Poslušati moraš, kar ti govori.; Lahko ji ukažeš, kaj naj dela.; Bolje ga moramo spoznati.;" ""Razumem te."" To moraš razumeti."
 Poskusi videti gozd skozi njene oči.; Poskusi videti gozd z njenimi očmi.; Če je Grace s tabo, poglej v njene spomine.; Za zdaj ji povej, kam naj gre.
 Oprosti, to je moj video dnevnik.; To je moj zadnji video dnevnik.; Dovoliš? To je moj video dnevnik.; Oprostite.
 Ob Neytiri se lahko samo hitro naučiš ali pa umreš.; Z Neytiri se moraš hitro učiti, drugače umreš.; In če oslabiš, te Pandora brez opozorila ubije.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.
 Gotovo me zafrkavaš.; To ti govorim, prasica.; Reci, da se šališ.; Vidim te.
 Moat sem pregovoril, da sme Grace nazaj v vas.; Rekel sem, da sanjehodci ne smejo sem.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.; Mo'at sem vprašal, ali bi spustila Grace v vas.
 Tako ste zrasli.; Kako ste lepi.; Na Pandori ste, gospe in gospodje.; Niste več v Kansasu.
 Prvič, odkar so zaprli njeno šolo.; Prvič, odkar so njeno šolo zaprli.; Težko je verjeti, da so minili samo trije meseci.; Zdaj je pri Eywi.
 Tako ste prikupni.; Odpeljite ga.; Kako ste veliki.; Ne bojte se.
 Ne, pa ne boš, pridi nazaj sem.; Pojdi nazaj.; Gremo, posebni primer. Ne bom te čakal.; Tako je. Steci nazaj k mamici.
 Dober tek.; Dober tek.; Dober večer.; Dobrodošli v taboru.
 Pridi.; Pridi.; Pridi.; Ja. Pridi sem.
 Poskušam razumeti to globoko povezavo, ki jo imajo ljudje z gozdom.; Poskušam dojeti njihovo globoko vez z gozdom.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.; Opominja me na to, kaj je tam zunaj.
 Govori o pretoku energije.; Razumete? To je mreža.; Govori o mreži energije, ki se pretaka skozi vsa živa bitja.; Imamo prvo ujemanje.
 Ta teče skozi vsa živa bitja.; Bogastvo tega sveta ni v tleh, ampak vse okrog nas.; Govori o mreži energije, ki se pretaka skozi vsa živa bitja.; Ohranja samo ravnotežje življenja.
 Pravi, da je vsa energija samo sposojena.; Pravi, da je energija samo sposojena in da jo moraš nekoč vrniti.; Ohranja samo ravnotežje življenja.; Ker ima rastline raje kot ljudi.
 In nekega dne jo moramo vrniti.; Tja bomo šli.; Torej ga moramo ustaviti.; Toda prej ali slej se je treba zbuditi.
 Vidim te, brat, in se ti zahvaljujem.; Vidim te, brat, in zahvaljujem se ti.; Vem, da najbrž ne razumeš, ampak hvala.; Iz neznanega razloga so Omaticayi izbrali tebe. Bog se nas usmili.
 Tvoj duh bo šel k Eywi, tvoje telo pa bo ostalo tukaj in postalo del Naroda.; Tvoje telo ostaja tu in bo postalo del ljudi.; Če hočeš postati taronyu, lovec, moraš izbrati svojega ikrana in on mora izbrati tebe.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Lep uboj.; Lep uboj.; Srečnež.; Mirno, punca.
 Pripravljen si.; Pripravljen si.; Pogumen si, da si prišel sem.; Kot otroček si.
 Naučiti se leteti na Ikranu, ki jih tukaj imenujejo Banshee, je test, ki ga mora prestati vsak mlad lovec.; Letenje z ikranom, mi jim rečemo furije, je preizkus, ki ga mora opraviti vsak mlad lovec.; Videli smo samo, kako je ta marinec izginil v grmovju, ko ga je lovil razdražen thanator.; Orbitalne slike kažejo, da je njihovo število z nekaj sto v enem dnevu naraslo na več kot dva tisoč.
 Da pa bi to naredil moraš iti tja, kjer Bansheeji živijo.; Toda treba je iti tja, kjer so furije.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Lahko bi me zakrpali, če bi šel nazaj.
 Kaj pa zdaj?; Pa zdaj?; Kakšna logika je to?; Kaj pravi?
 Jake Sully bo šel prvi.; Jakesully bo šel prvi.; Quaritch je prevzel vodstvo. Nič ga ne bo ustavilo.; Tsu'tey bo vodil bojno odpravo.
 Zdaj boš izbral svojega Ikrana.; Samo eno priložnost boš imel.; Zdaj si sin Omaticaye.; Če se boš izkazal, ti bom priskrbel noge.
 Moraš ga začutiti znotraj sebe.; Bolje ga moramo spoznati.; Tvoje telo ostaja tu in bo postalo del ljudi.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Če bo tudi on izbral tebe moraš biti hiter, kot sem ti pokazala.; Brez tebe mi ne bo uspelo.; Ampak tudi ta ženska mora izbrati mene.; Če ne bi prišla, bi bilo po meni.
 Samo eno priložnost boš imel, Jake.; Zdaj sem s tabo, Jake.; Ne igraj se s tem, oslepel boš.; Samo eno priložnost boš imel.
 Kako bom vedel, da je tudi on izbral mene?; Kako bom vedel, da me je izbral?; Naj torej plešem z njim?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?
 Poskusil te bo ubiti.; Ubiti te bo hotel.; Stran morava, uničil bo stolpe.; Samo preplašiti nas hoče. Če boš tekel, bo napadel.
 Krasno.; Krasno.; Prekleto.; Neverjetno.
 Pa zaplešiva.; Reci, da se šališ.; Zravnaj se. Tako.; Prebudi se.
 Bedak hoče umreti.; Oče se odloča, ali naj te ubije.; Sully, spoznaj te divjake, pridobi njihovo zaupanje.; Iti mora skozi Eywino oko in se vrniti.
 Ne boj se, bojevnik!; Ne boj se, bojevnik.; Nikoli se ne vrni!; Sedi, za tvojo varnost gre.
 Vzpostavi zvezo!; Pripelji ga nazaj!; Naveži stik.; Potem pa stori to.
 Jake!; Jake!; Jake!; Jakesully!
 Sa'Helu, Jake!; Tsu'tey!; Narrri!; Jake!
 Sa'Helu!; Tsu'tey!; Narrri!; Neytiri!
 Stoj!; Stoj!; Stoj!; Stoj!
 Tako je prav, zdaj si moj.; Vem, da ti lahko.; Pogumen si, da si prišel sem.; Sedi, za tvojo varnost gre.
 Prvi polet zapečati zvezo, zdaj ne smeš čakati.; Prvi polet zapečati vez. Ne smeš čakati.; Toda prej ali slej se moraš zbuditi.; Zdaj pa je čas, da se vrneš.
" Pomisli ""poleti""! -Poleti?"; Človek, ne!; Eywa te je slišala!; Poslušaj me. Jake!
 Prekleto...; Prekleto.; Čudno je.; Krasno.
 Sanje!; Nazaj!; Greva!; Greva!
 Utihni in leti naravnost!; Vzemi ta duh vase in ga dahni nazaj med nas.; Usliši nas, mati vsega.; Pripelji ga nazaj!
 Tako je prav.; V redu je.; V redu je.; To ni prav.
 Zavij levo.; Tako ja. Nagni se na levo.; Vzemi ikrana, napadi od zgoraj.; Pojdi nazaj.
 Izravnaj se! Tako je prav.; Sedi, za tvojo varnost gre.; Odločeno je. Moja hči te bo učila naših navad.; Dol. Sprosti se in ne misli na nič.
 Mala, uspelo mi je!; Eywa te je slišala!; Poslušaj me. Jake!; Zbudi se! Jake, zbudi se!
 Sranje!; Sranje!; Sranje!; Sranje!
