 Tako hladno je! -Plavaj, Rose!; Tako mrzla je. -Plavaj, Rose!
 Kaj plavaj. Daj.; Daj.
 Splezaj sem gor.; Stopi gor.
 Zdaj boš v redu.; Zdaj bo vse v redu.
 Zdaj boš v redu.; Zdaj bo vse v redu.
 Čolni se vračajo po nas, Rose. Zdrži samo še malo.; Čolni se bodo vrnili po nas, Rose.
 Morali... so odveslati stran, da jih ne bi potegnilo. Zdaj se bodo vrnili.; Morali so odveslati proč, da jih ne bi potegnilo noter, toda zdaj se bodo vrnili.
 Za božjo voljo! -Prosim!; Za mano. Ni razloga za paniko. -Prosim!
 Pomagajte nam! -Pomagajte nam!; Prosim, pomagajte nam!
 Pridite nazaj! Za božjo voljo!; Za božjo voljo!
 Če gremo nazaj, bodo prenatrpali čoln. Potegnili nas bodo s sabo, vam povem.; Če se vrnemo, bodo preobremenili čoln. Tudi nas bodo potegnili noter.
 Prenehajte... Strašite me.; Nehajte. Strašite me.
 Dajmo, punce... Zgrabite vesla, gremo!; Dajmo, dekleta, zgrabite veslo. Gremo.
 Ste znoreli? Sredi severnega Atlantika smo!; Se vam je zmešalo? Sredi severnega Atlantika smo.
 Ljudje, hočete živeti ali hočete umreti?; Bi radi preživeli ali umrli?
 Kaj je z vami? Tam so vaši možje!; Kaj vam je? Vaši možje so tam.
 Dovolj je še prostora.; Veliko prostora je še.
 In še en prostor več bo, če ne zaprete gobca!; In še za enega več ga bo, če ne boste takoj zaprli goflje!
 Potegnite vesla noter in tudi ta dva čolna zvežite skupaj.; Zvežite ta dva čolna skupaj.
 Poskrbite, da bosta dobro zvezana.; Glejte, da bosta dobro zvezana.
 Vse ženske s tega čolna bi rad prestavil v tisti čoln čim hitreje, prosim.; Prosim, samo za hip bi rad govoril z Rose.
 Samo nekaj minut potrebujejo, da uskladijo čolne.; Samo še nekaj minut bo trajalo, da se čolni organizirajo.
 Zate ne vem, ampak sam nameravam napisati ogorčeno pismo ladijski družbi o tem.; Zate ne vem, a sam nameravam napisati ostro pismo družbi White Star Line zaradi vsega tega.
 Ne poslavljaj se. Ne še.; Ne brez tebe.
 Me razumeš?; Ne tako. Me razumeš?
 Poslušaj, Rose, uspelo ti bo priti od tod.; Poslušaj, Rose, rešila se boš.
 Šla boš naprej in naredila kup dojenčkov in jih videla odrasti.; Gledala jih boš odraščati.
 Umrla boš stara... kot stara gospa na toplem v postelji.; Umrla boš v svoji postelji kot zelo stara gospa.
 Ne tukaj. Ne to noč.; Ne tukaj.
 Da sem dobil tisto karto Rose, je bila najboljša stvar, ki se mi je kdaj zgodila.; To, da sem si priigral vozovnico, je najbolje, kar se mi je kdaj zgodilo.
 Pripeljala me je k tebi in zato sem hvaležen, Rose.; Hvaležen sem za to, Rose.
 Hvaležen sem.; Hvaležen sem za to, Rose.
 Moraš mi izkazati to čast...; Moraš mi izkazati to čast.
 Moraš mi obljubiti, da boš preživela, da se ne boš predala, ne glede na to, kaj se zgodi, ne glede ne to, kako brezupno bo.; Mogoče ne takoj, ker si močna, ampak slej ko prej bo ogenj v tebi, ki mi je tako všeč, ugasnil.
 Obljubi mi, Rose, in nikoli ne prelomi te obljube.; Verjemi mi, ta klic moraš sprejeti.
 Nikoli se ne bom predala, Jack.; Ker se iz mene ne boš norčevala, Rose.
 Nikoli se ne bom predala.; Nikoli ne bom pozabila.
 Naravnost, gospod.; Ja, gospod.
 Ne, gospod. Nihče se ne premika, gospod.; Tile so mrtvi, gospod.
 Daj sem veslo.; Daj mi roke.
 Preveri jih, prepričaj se.; Preveri jih.
 Ti so mrtvi, gospod.; Tile so mrtvi, gospod.
 Umakni jih. Počasi naprej.; Umaknite jih. Počasi naprej.
 Je še kdo tu živ?; Je še kdo živ?
 Je še kdo tu živ?; Je še kdo živ?
 No, pregledujte jih, glejte!; Prerežite jih, če je treba!
 Je še kdo tu živ?; Je še kdo živ?
 Jack, tam je čoln.; Tamle je čoln.
 Čoln gre, Jack.; Čoln prihaja, Jack.
 Vrnite se. Vrnite se.; Vrnite se.
 Vrnite se. Vrnite se.; Vrnite se.
 Vrnite se, vrnite se.; Vrnite se.
 Ničesar ni tu, gospod.; Tile so mrtvi, gospod.
 Nikoli se ne bom predala.; Nikoli ne bom pozabila.
 1.500 ljudi je končalo v vodi, ko se je Titanik potopil pod nami.; 1.500 ljudi se je znašlo v vodi, ko je Titanik potonil.
 Okrog je bilo 20 čolnov, vrnil pa se je le en.; 20 čolnov je bilo v bližini in samo eden se je vrnil.
 Šest je bilo rešenih iz vode, vključno z mano.; Rešili so šest ljudi, vključno z mano.
 Šest... izmed 1.500.; Šest od 1.500.
 Potem 700 ljudi v čolnih ni imelo kaj početi kot čakati...; Potem je tistih 700 ljudi v čolnih lahko samo čakalo.
 Vsi so iz podpalubja.; Vsi so s podpalubja.
 Njegovi lasje so rdečkasto rjavi.; Ima rdečkasto rjave lase in belo brado.
 Rdečkasto rjavi. Rdečkasto rjavi in bela brada.; Ima rdečkasto rjave lase in belo brado.
 Ni drugega seznama. -Mogoče je na drugi ladji.; Pokaži to. -Mogoče smo nekaj našli.
 To je bilo zadnjič, da sem ga videla.; Takrat sem ga zadnjič videla.
 Seveda se je poročil in nasledil svoje milijone, toda polom 1929 ga je močno prizadel in tisto leto je vtaknil pištolo v usta, vsaj tako sem prebrala.; Ta gospa pa je vsak večer sedela v tem lokalu in imela na sebi ves svoj nakit ter čakala na izgubljeno ljubezen.
 Nikoli nismo zvedeli ničesar o Jacku. O njem sploh ni bilo podatkov.; O Jacku nismo našli ničesar. Zapisi o njem ne obstajajo.
 Ne, ni jih bilo, kajne?; Saj ne morejo, kajne?
 In nikoli nisem povedala o njem do zdaj.; Do danes nisem govorila o njem. Z nikomer.
 Toda zdaj vi veste, da je obstajal Jack Dawson in da me je rešil na vse načine, na katere se da rešiti človeka.; Toda zdaj veste, da je obstajal moški po imenu Jack Dawson in da me je rešil na vse načine, kot je koga možno rešiti.
 Zdaj obstaja le še v mojem spominu.; Zdaj obstaja le v mojem spominu.
 Keldysh, Keldysh, Mir2 na poti na površje.; Keldysh, Mir-2 prihaja na površje.
 Tole sem hranil do takrat, ko najdem diamant.; To sem hranil za takrat, ko bi našel diamant.
 Tri leta sem razmišljal le o Titaniku, toda nikdar ga nisem dojel.; Ves ta čas sem mislil le na Titanik.
 Nikoli se nisem odprl.; Nikoli ga nisem maral.
sentence1;sentence2
 Haluciniral je ... je pa omenil vaše ime.; Haluciniral je... Je pa omenil vaše ime.
 Pri sebi je imel tole ...; Pri sebi je imel tole...
 Vem, kaj je ta stvar.; Vem, kaj je to.
 Pripadala je človeku, ki sem ga spoznal v bežno pomnjenem snu.; Pripadala je človeku, ki sem ga spoznal v bežno pomnjenih sanjah.
 Gospod Cobb skuša povedati ... -Ideja.; Gospod Cobb skuša povedati... -Ideja.
 Popolnoma izoblikovana, docela razumljena ideja, ostane.; Popolnoma izoblikovana, popolnoma razumljiva ideja, ostane.
 Nekje tu notri. -Da jo nekdo tebi podoben ukrade?; Nekje tu notri. -Da jo nekdo kot ti ne ukrade?
 Ja. V stanju sanjanja je vaša obramba zavesti oslabljena, kar vaše misli dela ranljive za krajo. Temu se reče »izvlek«.;" Ja. V stanju sanjanja, je vaša obramba zavesti oslabljena, kar vaše misli dela ranljive za krajo. Temu se reče ""izvlek""."
 G. Saito, lahko izurimo vašo podzavest, da se obrani celo najbolj veščega izvlačitelja. -Kako to napravim?; G. Saito, lahko izurimo vašo podzavest, da se ubrani celo najbolj veščega izvlačitelja. -Kako to naredim?
 Zvijače so mi znane, in, lahko vas naučim, da celo v snu vaša obramba ne odpove.; Zvijače so mi znane in lahko vas naučim, da celo v spanju vaša obramba ne odpove.
" Takole je; če želite mojo pomoč, se mi morate povsem odpreti."; Tako je, če želite mojo pomoč, se mi morate povsem odpreti.
" Prijeten večer, gospodje; bom razmislil o vašem predlogu."; Prijeten večer gospodje, bom razmislil o vašem predlogu.
 Pa saj ni važno. Lahko izvlečem. Zaupaj mi.; Ni važno. Lahko izvlečem. Zaupaj mi.
 Informacije so v sefu. V trenutku, ko sem omenil »skrivnosti«, se je ozrl vanj.; V trenutku, ko sem omenil skrivnosti, se je ozrl vanj.
 Če skočim ...; Če skočim...
 Menila sem, da me morda pogrešaš.; Mislila sem, da me morda pogrešaš.
" Saj veš kako mi je; a ne morem ti več zaupati."; Saj veš kako mi je, a ne morem ti več zaupati.
 Povej mi ... me otroka pogrešata?; Povej mi... Me otroka pogrešata?
 Kaj izvajaš? -Na svež zrak grem. Ne mrdaj, Mal.; Kaj počneš? -Na svež zrak grem. Ostani kjer si, Mal.
 Da si me prišel okrast, ali, da pravzaprav spimo?; Da si me prišel oropati, ali, da pravzaprav spimo?
 Grožnje v sanjanju so nesmiselne, kajne, Mal?; Grožnje v sanjanju so nesmiselne, kajne Mal?
 A bolečina ...; A bolečina...
 Kaj počneš?! Prezgodaj je še. -Vem. Ampak, sanje so se sfižile.; Kaj počneš?! Prezgodaj je še. -Vem. Ampak, sanje so se zmešale.
 Saita skušam še malce zadržati v snu. Skoraj smo že opravili.; Saita skušam še malce zadržati v spanju. Skoraj smo že opravili.
 Ta prostor ... Slike ...; Ta prostor... Slike...
 Onesvestil se je.; Ni se mogla osvoboditi.
 posebno, če je vpletena poročena ženska. -Ona ne bi nikdar ...; Posebno, če je vpletena poročena ženska. -Ona ne bi nikdar...
 Evo, pa smo tu.; No, pa smo tu.
 Vprašanje je, čemu ste nam sploh dopustili?; Vprašanje je, zakaj ste nam sploh dopustili?
 Nima veze. Niste opravili.; Ni pomembno. Niste opravili.
 Zato me pustite na miru.; Zato me pustite pri miru.
 Zgleda, da ne razumete, gospod Saito. Korporacija, ki nas je najela ...; Izgleda, da ne razumete, gospod Saito. Korporacija, ki nas je najela...
 Zgleda, da bom moral opraviti nekoliko preprosteje.; Izgleda, da bom moral opraviti nekoliko preprosteje.
" Zamazana je in tako opazno oguljena; na način, kot pač pritiče volni."; Zamazana je in tako opazno oguljena.
 Zdaj pa ...; Zdaj pa...
 To že, a poglejte, gospod Saito ...; To že, a poglejte, gospod Saito...
 Nisem vedel, da bo drgnil svoj frdamani fris obnjo. -Dovolj bo.; Nisem vedel, da bo drgnil svojo prekleto glavo ob njo. -Dovolj bo.
 Ej ti,kaj je bil to za en vrag? -Vse sem imel pod nadzorom.; Ej ti, kaj je bil to za en vrag? -Vse sem imel pod nadzorom.
 Ne bi rad videl kako zgleda brez nadzora. -Jaz... nimamo časa za tole. Izstopim v Kyotu.; Nočem videti kako izgleda brez nadzora. -Jaz... Nimamo časa. Izstopim v Kyotu.
 Zakaj? Saj ne bo pregledal vseh kupejev. -Vem. Ne maram vlakov. Poslušajte ...; Zakaj? Saj ne bo pregledal vseh kupejev. -Vem. Ne maram vlakov. Poslušajte...
 Vsak naj se sam znajde.; Izplača se poizkusiti.
 Ja, halo? -Živjo, ati.; Ja, halo? -Živjo, očka.
 Hoj, mulčka. Kako sta? Kaj počneta, a?; Kaj počneš tu?
 Lej, povedal sem ti. Ni me, ker delam, ja?; Poglej, povedal sem ti. Ni me, ker delam, v redu?
 Ati? -Ja, James?; Očka? -Ja, James?
 Zadosti, otroka. Poslovita se.; Dovolj, otroka. Poslovita se.
 Pridna bodita, pa ...; Pridna bodita, pa...
 A si dobro? -Ja, v redu. Zakaj?; Si v redu? -Ja, v redu. Zakaj?
 Blokada v sajah, pojavi se je Mal ...; Blokada v sajah, Mal se je pojavil...
 Bil sem ji kos. Žal mi je zaradi tvoje noge. Ne bo se ponovilo.; Bil sem ji kos. Žal mi je zaradi tvoje noge, ne bo se ponovilo.
 Čedalje slabše je, kajne? -Ti opravičilo ni zadosti, Arthur?; Čedalje slabše je, kajne? -Ti opravičilo ni dovolj, Arthur?
 Ti? -Združene države.; Ti? -ZDA.
 Kaj hočete od nas? -»Saditev«.; Kaj hočete od nas? -Saditev.
 Je možna? -Jasno, da ni.; Je mogoča? -Jasno, da ni.
 Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vsadil?; Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vstavil?
" Takole; v glavo vam sadim idejo, rečem vam: »Ne mislite na slone«."; Takole, v glavo vam dajem idejo, rečem vam: »Ne mislite na slone«.
 Prave inspiracije ni možno poneveriti. -Ni res.; Pravega navdiha ni možno poneveriti. -Ni res.
 Kako bi vam prijalo oditi domov? V Ameriko?; Kaj ko bi odšli domov? V Ameriko?
 Kako kompleksna je ideja. -Zadosti preprosta.; Kako kompleksna je ideja. -Dovolj preprosta.
 Nobena ni enostavna, če jo je treba nekomu vsaditi v um.; Nobena ni enostavna, če jo je treba nekomu vstaviti v um.
 Če opravim ... če sploh lahko storim, hočem zagotovilo.; Če opravim... če sploh lahko storim, hočem zagotovilo.
 A ga lahko. Torej ...; A ga lahko. Torej...
 Lej, vem kako si želiš domov.; Vem, kako si želiš domov.
 To ni možno izvesti. -Pač, izvedljivo je.; To ni mogoče izvesti. -Pač, izvedljivo je.
 Čemu gremo v Pariz?; Zakaj gremo v Pariz?
 Menim, da utegnejo najti način, da se v tvojem primeru sprovede.; Menim, da utegnejo najti način, da se v tvojem primeru to spremeni.
 Glej ... tole sem ti prinesel, da ob priliki daš otrokoma.; Glej... to sem ti prinesel, da ob priliki daš otrokoma.
 Več kot nagačena plišasta živalca bo treba, da ta otroka prepriča, da še imata očeta.; Več kot nagačena plišasta živalca bo potrebna, da se otroka prepričata, da še imata očeta.
 Nikdar te nisem učil lopovstva. -Ne, naučil si me upravljati človeški um, ampak tako je naneslo, da je bilo polno legitimnih načinov za koriščenje te veščine.; Ne, naučil si me upravljati človeški um, ampak po tem, kar se je zgodilo je bilo veliko legitimnih načinov za koriščenje te veščine.
 Toda potrebujem tvojo pomoč. -Prišel si izpridit enega majih najbistrejših in najboljših.; Toda potrebujem tvojo pomoč. -Prišel si izpridit, enega mojih najbistrejših in najboljših.
 Denar. -Ni le denar. Spomni se. To je ...; Denar. -Ni le denar. Spomni se. To je...
" priložnost graditi katedrale, cela mesta, stvari, ki niso nikoli obstajale; stvari, ki v resničnem svetu ne morejo obstajati."; Priložnost graditi katedrale, celotna mesta, stvari, ki niso nikoli obstajale, stvari, ki v resničnem svetu ne morejo obstajati.
 V sanje sploh ne pridejo. Oni le ... Samo nivoje oblikujejo in o njih poučijo sanjajočega. To je vse. -Sam si jih oblikuj.; V sanje sploh ne pridejo. Oni le... Samo nivoje oblikujejo in o njih poučijo sanjajočega. To je vse. -Sam si jih oblikuj.
" To je njuna realnost. In ta posel, ta poslednji posel; tako pridem tja."; To je njuna realnost. In ta posel, ta poslednji posel, tako pridem tja.
 Ne bi bil tule, če bi poznal kak drug način.; Ne bi bil tukaj, če bi poznal kakšen drug način.
 Pravijo, da koristimo le delček resničnega potenciala svojega uma. Velja, ko smo budni.; Pravijo, da koristimo le delček resničnega potenciala svojega uma.
 Zavestno ustvariš vsak aspekt.; Zavestno ustvariš vsak vidik.
 In naš um počne to tako dobro, da niti ne vemo da se dogaja.; In naš um počne to tako dobro, da niti ne vemo, da se dogaja.
 Kako naj pridobim zadosti detajlov, da bo ta svet smatral kot realnost?; Kako naj pridobim dovolj podrobnosti, da bo ta svet smatral kot realnost?
 Le ko se zbudimo, spoznamo, da je bilo pravzaprav nekaj čudnega.; Le ko se zbudimo spoznamo, da je bilo pravzaprav nekaj čudnega.
 Bi rekla da. -Kako se torej znajdemo tu?; Bi rekla, ja. -Kako se torej znajdemo tu?
 Smo pač prišli iz ... -Razmisli o tem, Ariadne.; Smo pač prišli iz... -Razmisli o tem, Ariadne.
 Če so le sanje, zakaj si zakrivaš ...; Če so le sanje, zakaj si zakrivaš...
 Nikoli niso le sanje, kajne? Obraz poln črepinj boli kot vrag.; Nikoli niso le sanje, kajne? Obraz poln stekla boli kot vrag.
 Razvila ga je vojska. »Deljene sanje« je program urjenja, da se vojaki streljajo, med sabo koljejo in davijo, nakar se prebudijo.; Razvila ga je vojska. »Deljene sanje« je program urjenja, da se vojaki streljajo med sabo, pobijajo in davijo, ter se prebudijo.
 Ampak ... Debatirala sva vsaj kakšno uro.; Ampak... Debatirala sva vsaj kakšno uro.
 V sanjah ti um deluje hitreje, zato ...; V sanjah ti um deluje hitreje, zato...
 Pet minut v resničnem svetu je ena ura v snu.; Pet minut v resničnem svetu je ena ura v spanju.
 Kdo so ti ljudje? -Projekcija moje podzavesti.; Kdo so ti ljudje? -Predstavitev moje podzavesti.
" Jaz sem subjekt; moj um ga naseljuje."; Jaz sem predmet, moj um ga naseljuje.
 Tak je eden od načina izvlačenja informacij iz subjekta.; Tak je eden od načina izvlačenja informacij iz predmeta.
 Kako še ga izvajaš? -Z ustvarjanjem nečesa varnega, kot ...; Kako ga še izvajaš? -Z ustvarjanjem nečesa varnega, kot...
 Mislila sem, naj bi prostor sanj imel opraviti zgolj z vizualnim, ampak, gre bolj za njegovo občutenje.; Mislila sem, naj bi prostor sanj imel opraviti zgolj z vizualnim ampak, gre bolj za njegovo občutenje.
 Čudo, a ni?; Čudo, kajne?
 Bolj kot spreminjaš stvari, hitreje se jim projekcije zbližajo.; Bolj kot spreminjaš stvari, hitreje se jim predstavitve zbližajo.
 Prima, a pravim ti, če boš še naprej takole spreminjala stvari ...; Super, a pravim ti, če boš še naprej takole spreminjala stvari...
 Ježeš. Bi rekel svoji podzavesti, naj se malo brzda?; Ježeš. Bi rekel svoji podzavesti, naj se malo kontrolira?
 Je moja podzavest. Vedi, da je ne morem nadzorovati.; Je moja podzavest. Vedeti moraš, da je ne morem nadzorovati.
 Zelo impresivno.; Zelo prepričljivo.
 To nima veze z mano. Kapiraš? -Me zato rabiš za gradnjo svojih sanj?; To nima veze z mano. Razumeš? -Me zato rabiš za gradnjo svojih sanj?
 -Mal! -Zbudite me! -Mal! Ne, nikar! -Zbudite me!; Mal! -Zbudite me! -Mal! Ne, nikar! -Zbudite me!
 Nič ti ni. Hej? -Zakaj ... Kako, da se nisem zbudila?; Nič ti ni. Hej? -Zakaj... Kako, da se nisem zbudila?
 Totem je majhen osebni ... -To ti je pa res neka podzavest, Cobb!; Totem je majhen osebni... -To je pa res neka podzavest, Cobb!
 Je njegova žena? -Ja. Torej, glede totema: rabiš majhen predmet, po možnosti težak. Nekaj, kar imaš stalno s seboj, česar nihče drug ne pozna. -Kovanec? -Ne. Bolj unikaten mora biti.; Potrebuješ majhen predmet, po možnosti težak. Nekaj, kar imaš vedno s seboj, česar nihče drug ne pozna. -Kovanec? -Ne. Bolj unikaten mora biti.
 In takšnemu ne mislim kar tako odpreti svojega uma.; In takšnemu ne mislim, kar tako odpreti svojega uma.
 Zdaj ji realnost ne bo zadostovala. In, ko se bo vrnila ...; Zdaj ji realnost ne bo zadostovala. In, ko se bo vrnila...
 Preden mi zatežiš rekoč, da je nemogoča ...; Preden me začneš nadlegovati rekoč, da je nemogoča...
 Mučna. -Zato mi Arthur stalno tolmači da ni možna.; Mučna. -Zato mi Arthur vedno tolmači da ni mogoča.
 Probali smo. Vsadili smo idejo, ampak ni vzklila.; Poskušali smo. Vsadili smo idejo, ampak ni delovala.
 Jo nisi vsadil dovolj globoko? -Ne, ne gre le za globino. A veš, rabiš najpreprostejšo verzijo ideje, da se ta naravno razvije v tvojih subjektih.; Jo nisi vsadil dovolj globoko? -Ne, ne gre le za globino. A veš, rabiš najpreprostejšo verzijo ideje, da se ta naravno razvije v tvojih predmetih.
 Um je hudo prefinjena reč. Kakšna potlej je ideja, ki bi jo rad vsadil?; Kakšna je potem ideja, ki bi jo rad vsadil?
 In z vso to kramo si prepuščen na milost in nemilost subjektove presoje.; In z vsemi temi stvarmi si prepuščen na milost in nemilost tvoje predmetne presoje.
 Pa iz popolne osnove moraš začeti.; In začeti moraš iz popolne osnove.
 Yusuf. On cmari lastne variante zmesi.; Yusuf. On ustvarja lastne naključne zmesi.
 Kdaj me boš odvedel tja? -Ko se boš odkrižal zasledovalca.; Kdaj me boš odpeljal tja? -Ko se boš odkrižal zasledovalca.
" Tiralica na mojo glavo; me hočejo mrtvega ali živega?"; Tiralica na mojo glavo, me hočejo mrtvega ali živega?
 Zamoti ga. Dobiva se spodaj, v točilnici, recimo, čez pol ure.; Zamoti ga. Dobiva se spodaj v točilnici recimo, čez pol ure.
 Zdajle ne sanjaš, kaj?; Sedaj ne sanjaš, kaj?
 Kaj počnete v Mombasi? -Zaščititi moram svoje investicije.; Kaj počnete v Mombasi? -Zaščititi moram svoje vloge.
 Ah, a tak je tvoj način da se znebiš zasledovalca?; Takšen je tvoj način, da se znebiš zasledovalca?
 Trudila sem se, da se ne bi, toda ... -Toda nič ni temu podobnega.; Trudila sem se, da se ne bi, toda... -Toda nič ni temu podobnega.
 Enostavno je ...; Enostavno je...
 Če hočeš zgraditi tri kompletne nivoje sanj, moraš obvladati nekaj trikov.; Če hočeš zgraditi tri popolne nivoje sanj, moraš obvladati nekaj trikov.
 A tako. Kako veliki morajo biti ti nivoji?; V redu. Ampak kako veliki morajo biti ti nivoji?
 Lahko je karkoli velikosti nadstropja do celega mesta.; Lahko je kakršnekoli velikosti nadstropja do celega mesta.
 A biti mora dovolj zapleteni, da se lahko skrijemo pred projekcijo.; A biti mora dovolj zapleten, da se lahko skrijemo pred predstavitvijo.
 In boljši kot je ... -Več časa imamo, preden nas projekcija ujame. -Točno tako.; In boljši kot je... -Več časa imamo, preden nas predstavitev ujame. -Točno tako.
 Nihče ne mara, da mu nekdo drug brklja po umu.; Nihče ne mara, da mu nekdo drug išče po umu.
 Ne več, če ne zmore, ampak noče.; Ne vem če zmore, ampak vem, da noče.
 Misli, da je varneje, če ne pozna razporeditev.; Misli, da je varneje če ne pozna razporeditev.
 Ne, ona je ...; Ne, ona je...
 Kar si videla tam, je le njegova projekcija nje.; Kar si videla tam, je le njegova predstavitev nje.
 In da gre z nami na teren. -Ne, redko zahajam na teren, g. Cobb.; In, da gre z nami na teren. -Ne, redko zahajam na teren, g. Cobb.
 Tam te rabimo zaradi zmesi, prilagojenih našim potrebam.; Tam te potrebujemo zaradi zmesi, prilagojenih našim potrebam.
 Ni možno. Toliko sanj znotraj sanj je preveč nestabilno.; Nemogoče. Toliko sanj znotraj sanj, je preveč nestabilno.
" Pa je možno; le pomirjevalo potrebuješ."; Mogoče je le, če vzameš pomirjevalo.
 Pri takem poslu ni prostora za turiste, gospod Saito.; Pri takšnem poslu ni prostora za turiste, gospod Saito.
 Zdi se, da tokrat je.; Kot izgleda, tokrat je.
 Tole, mislim, da je primerno za začetek. Uporabljam ga vsak dan.; Tole mislim, da je primerno za začetek. Uporabljam ga vsak dan.
 Vsak dan si pridejo delit sanje.; Vsak dan si pridejo deliti sanje.
 Koliko časa sanjajo? -Po 3, 4 ure vsak dan.; Koliko časa sanjajo? -Po tri do štiri ure vsak dan.
" Kakšnih 40 ur; dan za dnem. -Čemu to počno?"; Kakšnih 40 ur, dan za dnem. -Čemu to počnejo?
 Veš, kaj ti je storiti.; Veš, kaj moraš storiti.
 Gospod Saito, tole ni tipična korporacijska špionaža.; Gospod Saito, to ni tipično korporacijsko vohunjenje.
 Ta ideja ga bo opredelila. Utegne mu spremeniti ...; Ta ideja ga bo opredelila. Utegne mu spremeniti...
 A ne moremo delati zgolj na osnovi govoric, kajne?; A ne moremo delati zgolj, na osnovi govoric, kajne?
 Mi lahko omogočite pristop do tegale človeka?; Mi lahko omogočite pristop do tega človeka?
" Browning; desna roka starejšemu Fischerju. Boter Fischerju mlajšemu."; Browning, desna roka starejšemu Fischerju. Boter Fischerju mlajšemu.
 Priporočila so nekaj, kar je moja specialnost, g. Saito.; Priporočila so nekaj, kar je moja posebnost, g. Saito.
 Tule ne voham pogodbe. Odvedite ga dol.; Tukaj ne voham pogodbe. Odpeljite ga dol.
 Aja, naj izrazimo vašo skrb neposredno Mauricu?; Ali naj izrazimo vašo skrb neposredno Mauricu?
 Nisem prepričan, da je potrebno. -Ne, ne, ne. Jaz pa mislim, da bi morali.; Ne, ne, ne. Jaz pa mislim, da bi morali.
 Kako je z njim. -Ne bi ga rad po nepotrebnem vznemirjal, toda ...; Kako je z njim. -Ne bi ga rad po nepotrebnem vznemirjal, toda...
 Robert, ti nisem rekel ... da spokaš iz mesta? -Moment.; Robert, ti nisem rekel, da izgineš iz mesta? -Trenutek.
 Tak daj že. Pojdi ...; Daj že. Pojdi...
 Položil sem mu jo ob posteljo. Niti opazil je ni.; Položil sem mu jo ob posteljo, niti opazil je ni.
 Vem, da je zdaj to težko, vendar nujno. -Ne zdaj, stric Peter.; Vem, da je zdaj to težko, vendar je nujno. -Ne sedaj, stric Peter.
 Bolehnejši, kot je Maurice Fischer, močnejši postaja Peter Browning.; In bolj bolan, kot postaja Maurice Fischer, močnejši postaja Peter Browning.
" Imel sem obilo priložnosti opazovati Browninga; povzeti njegov fizičen videz, preučiti njegovo obnašanje in tako dalje."; Imel sem veliko priložnosti opazovati Browninga, povzeti njegov fizičen videz, preučiti njegovo obnašanje in tako dalje.
 Na prvem nivoju sanj ga lahko upodabljam in sugeriram koncepte Fischerjovemu zavestnemu umu.; Na prvem nivoju sanj ga lahko upodabljam in priporočim koncepte Fischerjovemu zavestnemu umu.
 Nato, ko ga povedemo nivo globlje, bi njegova lastna projekcija Browninga morala, morala bi se mu povrniti.; Nato, ko ga povedemo nivo globlje, bi se njegova lastna projekcija Browninga, morala povrniti.
 Torej si bo sam dal idejo. -Natanko tako.; Torej si bo sam izmislil idejo. -Natanko tako.
 Tvoje odobravanje je vedno cenjeno, Arthur. Hvala.; Tvoje priznanje je vedno cenjeno, Arthur. Hvala.
 Si tja dol zahajal na lastno pest?; Si tja dol zahajal na sam?
 Ne, pač pa sem ... Izvajal sem neke eksperimente.; Ne, pač pa sem... Izvajal sem neke poizkuse.
 Nisem opazil, da bi bil kdo tu. Torej ...; Nisem opazil, da bi bil kdo tu. Torej...
 Ja, jaz ... Obdelujem svoj totem. -Daj, naj si ga pogledam.; Ja, jaz... Obdelujem svoj totem. -Naj si ga pogledam.
 Se torej učiš, a? -Elegantna rešitev za stik z realnostjo.; Se torej učiš, kaj? -Elegantna rešitev za stik z realnostjo.
 Je bila to tvoja ideja? -Ne bila je ... pravzaprav Malina.; Je bila to tvoja ideja? -Ne bila je... pravzaprav Malina.
 Tale ... Ta je bil njen. Zavrtiš ga v sanjah in nikoli ne bo padel.; Zavrtiš ga v sanjah in nikoli ne bo padel.
 Vsak nivo se navezuje na del subjektove podzavest, kamor skušamo dostopiti.; Vsak nivo se navezuje na del predmetove podzavesti, kamor skušamo priti.
 Napravila sem spodnje nadstropje bolnice, da Fischer privede svojega očeta.; Ustvarila sem spodnje nadstropje bolnice, da Fischer privede svojega očeta.
 Zakaj je to tako važno? -V primeru, da eden od nas vnese svoje projekcije, nočemo, da poznajo detajle labirinta.; Zakaj je to tako važno? -V primeru, da eden od nas vnese svoje predstavitve, nočemo, da poznajo podrobnosti labirinta.
 Kajti, sugerirati mu, naj deli očetovo podjetje, je »jebi se« starčku.;" Kajti, priporočiti mu, naj deli očetovo podjetje, je ""jebi se"" starčku."
 Ne, ker menim da pozitivna emocija vedno premaga negativno.; Ne, ker menim, da pozitivna čustev vedno premaga negativno.
 Prav, pa poskusimo s temle: »Moj oče odobrava, da hočem ustvarjati sam, na de sledim njegovim stopinjam«.; Prav, pa poskusimo s temle: »Moj oče odobruje, da hočem ustvarjati sam, na de sledim njegovim stopinjam«.
 Rabimo kaj boljšega od le »morda«. -Hvala ti za sodelovanje, Arthur.;" Potrebujemo kaj boljšega od le ""morda"". -Hvala ti za sodelovanje, Arthur."
 Dorečenost? -Saditev nima opraviti z dorečenostjo.; Dorečenost? -Saditev nima nič opraviti z dorečenostjo.
