 Po petih letih životarjenja v vaseh, polnih bolh, se končno vračamo tja, kamor sodimo - v Kolosej.; Po petih letih životarjenja v vaseh, polnih bolh, se končno vračamo tja, kamor spadamo - v Kolosej.
 50 000 Rimljanov budno spremlja vsak premik tvojega meča in zahteva, da nasprotniku zadaš smrtni udarec.; 50.000 Rimljanov budno spremlja vsak gib tvojega meča in zahteva, da nasprotniku zadaš smrtni udarec.
 Tišina pred udarcem in trušč po njem.; Tišina pred udarcem in hrup za njim.
 Dviguje se... Kot vihar.; Kot vihar. Kot da bi bil ti sam bog groma.
 Kot da bi bil sam bog groma.; Kot vihar. Kot da bi bil ti sam bog groma.
 Si si prislužil svobodo?; Si pripravljen izpolniti svojo obveznost do Rima?
 Dolgo je tega, da mi je cesar podaril radij.; Vedel sem, da ne posedujem nobene.
 Je preprosti, leseni meč.; Si si zaslužil svobodo? -Dolgo tega mi je cesar podaril rudij. To je navaden leseni meč.
 Prijel me je za ramo, in bil sem svoboden.; Prijel me je za ramo, in svoboden sem bil.
 Le, da me je enkrat prijel za ramo.; Si poznal Marka Avrelija? -Rekel sem, da me je enkrat prijel za ramo.
 Vprašal si me, kaj hočem.; Vprašal si me, kaj želim.
 Tako kot ti, si tudi jaz želim stati pred cesarjem.; Tako kot ti tudi jaz želim stati pred cesarjem.
 Najboljši sem bil zato, ker me je množica oboževala.; Najboljši sem bil, ker so me ljudje oboževali.
 Pridobi jo na svojo stran in svoboden boš.; Pridobi ljudi na svojo stran, in postal boš svoboden.
 Pridobil si bom množico na svojo stran.; Pridobil bom ljudi na svojo stran.
 Dal ji bom nekaj, česar še ni videla.; Dal jim bom nekaj, česar še niso videli.
 In velika vlačuga naju bo dojila, dokler bova ne bova lepo rejena.; In velika vlačuga naju bo dojila, dokler bova zadovoljna in rejena in ne bo mogla več. In potem, ko bo dovolj mož umrlo, boš morda dobil svojo svobodo.
 In potem, ko bo umrlo dovolj mož, boš mogoče dobil svojo svobodo.; In velika vlačuga naju bo dojila, dokler bova zadovoljna in rejena in ne bo mogla več. In potem, ko bo dovolj mož umrlo, boš morda dobil svojo svobodo.
 Moja dežela je nekje tam. Moj dom.; Moj dom. Moja žena pripravlja obed.
 Moja žena pripravlja obed.; Moj dom. Moja žena pripravlja obed.
 Hčere nosijo vodo iz reke.; Moje hčere nosijo vodo iz reke.
 Verjameš, da jih boš spet videl, ko umreš?; Mora tudi moj sin umreti, da mi boš zaupal?
 Mislim, da ja. Ampak umrl bom kmalu.; Ampak umrl bom kmalu.
 One ne bodo še nekaj let.; In bojim se, da ne bodo preživele zime.
 Čakati bom moral. -Pa bi? Čakal?; Dal ti bom posebno ceno. -Za kaj?
 Moja žena in sin me že čakata.; Kajti moja žena in sin me že čakata.
 Spet ju boš srečal. Vendar še ne.; Še ju boš videl. Ampak ne še.
 Razen... -Ne še.; Razen ... -Ne še.
 Gremo, ven!; Ven. Gremo, ven!
 Lepo te je spet videti, prijatelj stari.; Lepo, da se spet vidiva, prijatelj stari.
 Nisem vedel, da ljudje znajo zgraditi kaj takega.; Nisem vedel, da ljudje znajo graditi take stavbe.
 Noter. Gremo, noter.; Ven. Gremo, ven!
 Trdno spi, ker je ljubljen.; Tako trdno spi, ker je ljubljen.
 Pridi, brat. Pozno je že.; Pridi, brat. Pozno je.
 Zaradi mene bo Rim postal čudo vseh časov.; Rim bo zaradi mene postal čudo veka.
 Grah in njegovi prijatelji tega ne razumejo.; Tega Grakh in njegovi prijatelji ne razumejo.
 Zaradi vseh teh želja imam hud glavobol.; Zaradi vseh želja imam tako hud glavobol.
 Na slavju v spomin na očeta bi lahko oznanil razpustitev senata. Naj to storim?; Bosta vidva v senatu javno obtožila mojega brata?
 So ljudje pripravljeni?; Ali naj? So ljudje pripravljeni?
 Mislim, da moraš zdaj počivati.; Mislim, da se zdaj moraš spočiti.
 Boš ostala z mano? -Se še vedno bojiš teme, brat?; Boš ostala z menoj? -Se še vedno bojiš teme, brat?
 Še. Vedno.; Še. Vselej.
 Boš nocoj ob meni? -Veš, da ne bom.; Ostani z menoj nocoj. -Veš, da ne bom.
 Potem me pa poljubi.; Potem pa me poljubi.
 Celo satirike in letopisce. –In matematike.; Celo satirike in letopisce. -In matematike.
 Ko se zmrači, me je strah iti ven. –Bolj bi te moralo biti čez dan.; Ko se zmrači, me je strah iti ven. -Bolj bi te moralo biti čez dan.
 Kaj točno torej načrtuje? –In kdo bo to plačal?; Kaj točno torej načrtuje? -In kdo bo to plačal?
 Začel je prodajati žitne zaloge. –To ne more biti res.; Začel je prodajati žitne zaloge. -To ne more biti res.
 Rim mora izvedeti za to. –Kako? Razpustil bo senat.; Rim mora izvedeti za to. -Kako? Razpustil bo senat.
 In kdo jim bo povedal, ko bo že prepozno? Ti, Grah? Ti, Gaj?; In kdo jim bo povedal, ko bo že prepozno? Ti, Grakh? Ti, Gaj?
 Ne. Odreži ji glavo, pa kača ne more pičiti. –Lucila, Gaj ima prav.; Ne. Odreži ji glavo, pa kača ne more pičiti. -Lucila, Gaj ima prav.
 Torej stojimo križem rok? –Ne, otrok. Obdržimo svoj načrt.; Torej stojimo križem rok? -Ne, otrok. Obdržimo svoj načrt.
 Dotlej pa... Smo ubogljivi, pokorni.; Dotlej pa ... Smo ubogljivi, pokorni.
 Umaknite se!; Ustavite se!
 Ljudje hočejo bitke, zato jim jih cesar tudi da.; Ljudje želijo bitke, zato jim jih cesar ponudi.
 Ti boš dobil bitko v Kartagini. -Pokol v Kartagini.; Ti dobiš bitko v Kartagini. -Pokol v Kartagini.
 Zakaj ne greš v zapor in zbereš berače in lopove? -Smo jih že.; Zakaj ne greš v zapor in zbereš vse berače in lopove? -Smo že.
 Če hočeš najboljše gladiatorje v cesarstvu, hočem dvojno ceno.; Če želiš najboljše gladiatorje tega cesarstva, hočem dvojno ceno.
 Dobil boš ceno po pogodbi, ali pa jo bomo razdrli.; Dobil boš ceno po pogodbi, ali pa jo razdremo. Ti ni všeč?
 Ti ni všeč? Lahko se vrneš v zakoten kraj, iz katerega si prišel.; Potem se lahko vrneš v tisti zakoten kraj, od koder si prišel.
 Gladiator, si ti ta, ki mu pravijo Španec? -Sem.; Gladiator, si ti tisti, ki ga kličejo Španec? -Sem.
 Rekli so, da si velikan.; Rekli so, da si velikan. Da lahko zdrobiš moško lobanjo z eno roko.
 Da lahko zdrobiš moško lobanjo z eno roko.; Rekli so, da si velikan. Da lahko zdrobiš moško lobanjo z eno roko.
 Moško? Ne.; Moško? Ne. Fantovsko.
 Imate v Španiji dobre konje? -Ene najboljših.; Imajo v Španiji dobre konje? -Ene najboljših.
 Navijal bom zate. -Ti dovolijo gledati igre?; Ti dovolijo gledati igre? -Stric pravi, da me to krepi. -In oče?
 Stric pravi, da me to krepi. -Pa oče?; Ti dovolijo gledati igre? -Stric pravi, da me to krepi. -In oče?
 Gospodič Lucij, čas je.; Gospodič Lucij, čas je. -Iti moram.
 Iti moram. -Ti je ime Lucij?; Iti moram. -Ja.
 Ko bo prišel cesar, dvignite orožje, ga pozdravite in govorite v en glas.; Ko se pojavi cesar, dvignite orožje, ga pozdravite in skupno govorite.
 Bodite obrnjeni k cesarju in mu ne obračajte hrbta!; Bodite obrnjeni k cesarju in ne obračajte mu hrbta!
 Pojdite in umrite častno.; Pojdite in častno umrite.
 Danes se bomo spomnili častitega starega veka, ko bomo poustvarili drugi padec mogočne Kartagine Na pusti ravnini Zarma so stale nepremagljive čete barbarskega Hanibala.; Danes se bomo spomnili posvečenega starega veka, ko bomo poustvarili drugi padec mogočne Kartagine!
 Je kdo od vas bil v vojski? -Ja. S tabo sem služil pri Vindoboni.; Je že kdo bil v vojski? -Ja. S teboj sem služil pri Vindoboni.
 Me razumete?; Večjo možnost za preživetje imamo, če sodelujemo. Me razumete?
 Če bomo ostali skupaj, bomo preživeli.; Če ostanemo skupaj, preživimo.
 Cesar vam predstavlja legionarje Scipiona starejšega!; Cesar vam z zadovoljstvom predstavlja legionarje Scipiona starejšega!
 Ostanite skupaj.; Držite ščite. Ostanite usklajeni. Držite!
 Ostanite skupaj.; Držite ščite. Ostanite usklajeni. Držite!
 Dvignite ščite. Kot eden.; Držite ščite. Ostanite usklajeni. Držite!
 Ta kolona k bojnemu vozu! Ta ostane z mano!; Ta kolona k bojnemu vozu! Ta kolona ostane z menoj!
 V zgodovini nisem ravno dober, Kasij, toda a ne bi morali barbari izgubiti bitko pri Kartagini?; Zgodovina ni ravno moja močna točka, Kasij, ampak kaj ne bi morali barbari izgubiti bitko pri Kartagini?
 Oprostite, veličanstvo. -Ne, presenečenja so mi všeč.; Je res tako hudo, da me znova vidiš? -Ne, bitka me je utrudila.
 Kdo je ta? -Pravijo mu Španec.; Kdo je poveljnik? -Neki rimski tepec.
 Rad bi ga spoznal. -Prav, veličanstvo.; Rad bi ga spoznal. -Prav, visočanstvo.
 Odvrzite orožje.; Spustite orožje.
 Na uslugo sem mu.; Pa sem te.
 Tale mladenič pa vztraja, da si novi Hektor. Ali Herkul?; Tale mladenič pa vztraja, da si novi Hektor. Ali je bil Herkul?
 Zakaj se junak ne razkrije in nam zaupa pravega imena?; Zakaj se junak ne razkrije in nam pove svoje pravo ime?
 Imaš ime? -Ime mi je Gladiator.; Najbrž imaš ime. -Ime mi je Gladiator.
 Ime mi je Maksim Decim Meridij.; Najbrž imaš ime. -Ime mi je Gladiator.
 Poveljnik severnih vojska, general Feliksovih legij, vdani služabnik pravega cesarja, Marka Avrelija.; Moje ime je Maksim Decim Meridij. Poveljnik severnih vojska, general Feliksovih legij, vdani služabnik pravega cesarja, Marka Avrelija.
 Maščeval se bom za to, v tem ali prihodnjem življenju.; In maščeval se bom za to, naj bo v tem ali naslednjem življenju.
 Zakaj je še živ?; Zakaj se junak ne razkrije in nam pove svoje pravo ime?
 Ne vem.; Zakaj je še živ? -Ne vem.
 Če bi oče nadaljeval, bi se cesarstvo razklalo.; Na slavju v spomin na očeta bi lahko oznanil razpustitev senata.
 Ničesar nisem občutila.; Nič nisem občutila.
 Globoko te je prizadel, mar ne?; Globoko te je prizadel, mar ne? -Nič bolj, kot sem ga jaz.
 Nič bolj, kot sem jaz njega.; Globoko te je prizadel, mar ne? -Nič bolj, kot sem ga jaz.
 Rekli so mi, da je mrtev.; Zatrjevali so mi, da je mrtev.
 Če mi lažejo, me ne cenijo.; Veliko denarja nisem plačal, da bi mi delali družbo.
 Če me ne cenijo, kako me bodo sploh kdaj imeli radi?; Če mi lažejo, me ne cenijo. Če me ne cenijo, kako me bodo sploh kdaj imeli radi?
 Potem moraš sporočiti legijam, da njihova zahrbtnost ne bo ostala nekaznovana.; Potem se lahko vrneš v tisti zakoten kraj, od koder si prišel.
 Uboga sestra. Ne bi si želel biti tvoj sovražnik.; Ne bi si želel biti tvoj sovražnik.
 Bogate gospe plačajo precej, da pridejo k največjim borcem.; Bogate gospe precej plačajo, da pridejo k največjim borcem.
 Vedel sem, da bo tvoj brat poslal morilce.; Vedel sem, da bo tvoj brat poslal morilce. Ne pa, da najboljše.
 Nisem pa vedel, da bo poslal najboljše.; Nisem vedel, da ljudje znajo graditi take stavbe.
 Ničesar nisem vedela... -Ne laži mi!; Nič nisem vedela ... -Ne laži mi!
 Kot si za očetom? -Odtlej živim v strahu.; Odtlej živim v strahu.
 Nenehno sem v strahu, ker je tvoj sin prestolonaslednik.; Nenehno me je groza, ker je moj sin prestolonaslednik.
 Objokovala sem ju.; Vse življenje sem se počutila osamljeno, razen s teboj ne.
 Moj sin je bil nedolžen.; Moj sin je bil nedolžen. -Tudi moj je.
 Tudi moj je.; Enako kot moj sin.
 Saj je vseeno, če ti zaupam, ali ne.; Saj je vseeno, če ti zaupam ali ne.
 Bogovi so ti prizanesli. Res ne razumeš?; Bogovi so ti prizanesli. Ali res ne razumeš?
 Danes sem videla sužnja, ki je imel večjo moč kot cesar.; Danes sem videla, da je imel suženj večjo moč kot cesar.
 To je moč. Drhal je Rim.; Bogovi so mi prizanesli? Prepuščen sem jim na milost in nemilost, lahko pa le zabavam drhal. -To je moč. Drhal je Rim.
 Dokler jo ima Komod pod nadzorom, ima pod nadzorom vse.; Toda general ima vselej vse pod nadzorom.
 Poslušaj me. Moj brat ima sovražnike, zlasti v senatu.; Moj brat ima sovražnike, zlasti v senatu. Toda dokler ga ljudje podpirajo, se mu nihče ne upa postaviti po robu. Vse do tebe.
 Toda dokler ga ljudje podpirajo, se mu nihče ne upa postaviti po robu. Razen tebe.; Moj brat ima sovražnike, zlasti v senatu. Toda dokler ga ljudje podpirajo, se mu nihče ne upa postaviti po robu. Vse do tebe.
 Nasprotujejo mu, pa vendar ne storijo nič.; Tega Grakh in njegovi prijatelji ne razumejo.
 Tam so politiki, ki so Rimu posvetili življenje.; Nasprotujejo mu, pa vendar ne storijo nič. -Tam so politiki, ki so Rimu posvetili življenje. Eden še posebej.
 Res ne razumeš? Danes ali jutri lahko umrem. Suženj sem!; Danes ali jutri lahko umrem. Suženj sem!
 Kaj lahko spremenim?; Kaj boš storil?
 Ta človek si želi isto kot ti.; Ti si sin, ki bi ga moral imeti.
 Pa naj on ubije Komoda!; Potem pa naj on ubije Komoda!
 Nekoč sem poznala moškega... Plemenitega in načelnega.; Nekoč sem poznala moža ... Plemenitega moža.
 Imel je rad mojega očeta. In moj oče je imel rad njega.; Načelnega moža, ki je imel rad mojega očeta in moj oče je imel rad njega.
 Ni ga več. Tvoj brat je dobro opravil svoje delo.; Tistega moža ni več. Tvoj brat je dobro opravil svoje delo.
 Pozabi, da si me poznala in se ne vrni nikoli več.; Pozabi, da si me kdaj poznala in se nikdar več ne vrni.
 Stražar! Gospa je opravila.; Stražar! Gospa je opravila svoje.
 Ime? –Mark, visočanstvo.; Rad bi ga spoznal. -Prav, visočanstvo.
 Nisem vedel. –Nisi vedel.; Nisem vedel. -Nisi vedel.
 Vselej ukazuje. Mar ne? –Ja, cesar.; Vselej ukazuje. Mar ne? -Ja, cesar.
 Maksim, si poveljeval legijam? Si dosegel veliko zmag?; Maksim. Si poveljeval legijam? Si dosegel veliko zmag?
 Ja. -V Germaniji?; Kje si utaborjen? -V Ostiji.
 Veliko ime imaš.; Ti je ime Lucij?
 Senator Grah.; Senator Grakh.
 Redko te vidim, da uživaš v zabavi za množice.; Redko te vidim, da uživaš v zabavi za ljudske množice.
 Ne pretvarjam se, da sodim mednje, se pa trudim, da bi delal v njihovo korist.; Ne pretvarjam se, da spadam mednje, se pa trudim, da bi delal v njihovo korist.
 Po petih letih premora se v Kolosej vrača...; Po petih letih premora se v Kolosej vrača ...
 Cesar vam z zadovoljstvom predstavlja edinega nepremaganega gladiatorja v rimski zgodovini.; Cesar vam z zadovoljstvom predstavlja edinega nepremaganega gladiatorja v rimski zgodovini: legendarnega Tigrisa iz Galije!
 Tigrisa iz Galije!; Maksima iz Rima!
 Predobro zna manipulirati z drhaljo.; Ampak z vsakim dnevom dobi sovražnike.
 Mark Avrelij je sanjal o Rimu, Proksim. Vendar ne o takšnem.; Predobro zna manipulirati z drhaljo. -Mark Avrelij je sanjal o Rimu, Proksim. Vendar ne o takšnem.
 Smrtniki smo le sence in prah.; Smrtniki smo le sence in prah. Sence in prah, Maksim!
 Sence in prah, Maksim!; S teboj smo, Maksim!
 Prihaja varovanec Antonija Proksima...; Prihaja varovanec Antonija Proksima ...
 Cesar vam s ponosom predstavlja... Maksima iz Rima!; Cesar vam s ponosom predstavlja ...
 Drhal je nestanovitna, brat. Čez mesec ga bodo pozabili.; Sprejel je odločitev. Oznanil jo bo.
 Tako sem uredil.; Tako smo uredili.
 Maksim! Maksim Sočutni!; Maksim Sočutni!
 Kaj naj storim s tabo?; Kaj naj storim s teboj? Preprosto nočeš umreti.
 Sva si res tako različna?; Sva si midva res tako različna?
 Jemlješ življenja, ko moraš, tako kot jaz.; Jemlješ življenja, ko moraš, prav tako jaz.
 Le še eno moram vzeti. Potem bom končal.; Le še enega moram vzeti. Potem bom končal.
 Menda je tvoj sin cvilil kot punčara, ko so ga pribijali na križ.; Menda je tvoj sin cvilil kot dekle, ko so ga pribili na križ.
 In da je tvoja žena stokala kot vlačuga, ko so se zabijali vanjo. Znova, znova in znova.; In tvoja žena je stokala kot vlačuga, ko so udrihali po njej znova in znova in znova.
 Vaš čas za izkazovanje časti samemu sebi se bo kmalu iztekel.; Vaš čas za izkazovanje časti samemu sebi se bo kmalu iztekel ...
 Kje taborite? -V Ostiji.; Kje si utaborjen? -V Ostiji.
 Povej možem, da je njihov general živ. Poiščite me.; Radi te imamo, Maksim! -Povej možem, da je njihov general živ. Najdite me.
 Govorim mu, da se bova kmalu spet videla in da naj med ježo privzdiguje pete.; Govorim mu, da se bova kmalu spet videla in naj drži pete dol, ko jezdi konja.
 To pa se te ne tiče.; To pa ni tvoja stvar.
 Vse je ena velika mora.; Vse je kot ena velika nočna mora.
 Kljubuje ti. Vsaka njegova zmaga je kljubovanje.; Kljubuje ti. Vsaka njegova zmaga pomeni kljubovanje.
 Drhal to vidi, pa tudi senat.; Drhal vidi to, pa tudi senat.
 Vsak dan, ko je živ, so bolj drzni.; Vsak dan ko je živ, so bolj drzni.
 Ubij ga. -Ne.; Ker je tvoj oče izbral mene. -Ne.
 Ne bom ga spremenil v mučenika.; In maščeval se bom za to, naj bo v tem ali naslednjem življenju.
 Danes sem jim v senatu odločno povedal, da bom za plačilo stroška iger prodal žitne zaloge.; Danes sem jim v senatu odločno povedal, da bom za plačilo stroška iger prodal žitne rezerve.
 Si opazil, kaj se je zgodilo? –Nič. –Točno to. Nič.; Si opazil, kaj se je zgodilo? -Nič. -Točno to. Nič.
 Nihče ni niti malo ugovarjal. Celo nadut senator Grah je bil tiho kot miška. Zakaj?; Nihče ni niti malo ugovarjal. Celo nadut senator Grakh je bil tiho kot miška. Zakaj?
 Povedali so mi za neko morsko kačo, ki na zelo neobičajen način privabi plen.; Povedali so mi za neko morsko kačo, ki ima zelo neobičajen način, kako privabi plen.
 Leži na dnu morja, kot bi bila ranjena.; Leži na dnu oceana, kakor da je ranjena.
 Njeni sovražniki se ji približajo, a se še vedno ne premakne.; Njeni sovražniki se ji približajo, pa vendar se ne premakne.
 Nato jo sovražniki začnejo grizljati, toda še vedno se ne premakne.; Nato jo začnejo sovražniki po malem grizljati, pa vendar se še vedno ne premakne.
 Torej... Ne bova se premaknila.; Ne smeva več čakati. Nocoj morava oditi.
 Pustila bova, da sovražniki pridejo do naju in naju grizljajo.; Kaže, da vendarle še ne bova mogla iti domov.
 Cicero, prijatelj stari. Mislil sem, da sem te videl zadnjič.; Vedel sem, da bo tvoj brat poslal morilce. Ne pa, da najboljše.
 Jaz pa, da si mrtev. -Skoraj.; Ostani z menoj nocoj. -Veš, da ne bom.
 Kako dolgo so možje že v Ostiji? -Vso zimo.; Cicero, prijatelj stari. Mislil sem, da sem te zadnjič videl. -Jaz pa, da si bil mrtev. -Skoraj. Kako dolgo so že možje v Ostiji? -Vso zimo.
 Kdaj bi lahko bili pripravljen na boj? -Zate že jutri.; Kdaj bi lahko bili pripravljeni na boj? -Zate že jutri.
 Poglejte. Če niste bili v areni, si lahko predstavo ogledate tu.; Poglejte. Če niste bili v areni, lahko vidite predstavo tukaj.
 Kljubuje vsem. Kaj naj storimo?; Kaj naj storimo? Vsem kljubuje. Zaradi tega oni ...
 Gospa. Vašemu očetu sem služil pri Vindoboni.; Gospa. Vašemu očetu sem služil pri Vindoboni. -Nazaj. -Gospa.
 Stran. -Gospa, vašemu očetu sem služil pri Vindoboni.; Vašemu očetu sem služil pri Vindoboni.  -Nazaj!
 Nazaj! -Služil sem tudi generalu Maksimu. In še vedno mu.; Služil sem tudi generalu Maksimu. Še vedno mu.
 Za tvojo vdanost, vojak. -Hvala, gospa.; Za tvojo vdanost, vojščak. -Hvala, gospa.
 Senator Grah.; Senator Grakh.
 Je Senat z vami? -Senat?; Senat drži z vami? -Senat?
 Ja. Lahko govorim v njegovem imenu.; Ja. Lahko govorim zanj.
 Mi lahko kupite svobodo in me pretihotapite iz Rima?; Mi lahko kupite svobodo in me pretihotapite iz Rima? -Kam?
 Do sončnega zahoda naslednji dan se bom vrnil s 5000 možmi.; Pridobil bom ljudi na svojo stran.
 Ko me bodo možje videli živega, se bo to spremenilo. -To je norost.; Ko se zmrači, me je strah iti ven. -Bolj bi te moralo biti čez dan.
 Rimska vojska že 100 let ni vstopila v Rim.; Pozimi leta 180 se je boj cesarja Marka Avrelija proti barbarskim plemenom v Germaniji bližal koncu.
 Ne bom dovolil nove diktature!; Ubil bom Komoda.
 Polovičarstvo in besedičenje ne prideta v poštev, senator.; Vojak ima to prednost, da lahko pogleda sovražnika v oči, senator.
 Jaz, bom. Vojska bo ostala, da vas bo varovala.; Dajte seznam meni. Cesar bo storil vse, kar Rim potrebuje.
 Poveljeval ji bo senat.; Drhal vidi to, pa tudi senat.
 Torej, Rim bo vaš, vi pa ga boste vrnili ljudem? Zakaj?; Ves Rim bo vaš, pa ga boste vrnili ljudem? Zakaj?
 Usodo Rima pa prepustil vam.; Usodo Rima pa bom prepustil vam.
 Mark Avrelij vam je zaupal.; Mark Avrelij vam je zaupal. Njegova hči vam zaupa.
 Njegova hči vam zaupa.; Mark Avrelij vam je zaupal. Njegova hči vam zaupa.
 Tudi jaz vam bom zaupal. Toda časa je malo.; Jaz vam bom zaupal. Toda malo časa imamo.
 Ostanite živi, sicer bom umrl tudi jaz.; Ampak umrl bom kmalu.
 Ne bo uspelo.; Komod se bo sprijaznil z mojo odločitvijo.
 Cesar ve preveč.; Ne bo uspelo. Cesar ve preveč.
 Kar se tiče mene... Postaja nevarno.; Kar pa se tiče mene ... Postaja nevarno.
 Ko se bom vrnil te bom bogato poplačal.; Ko se vrnem, te bogato poplačam.
 Dajem ti besedo. -Besedo? In če se ne vrneš?; Dajem ti besedo. -Besedo? Kaj, če se ne vrneš?
 Komu naj zaupam? -Ubil bom Komoda.; Ubil bom Komoda.
 Zakaj bi si jaz tega želel? Prinaša mi denar.; Ubil bom Komoda. -Zakaj bi si jaz tega želel? Prinaša mi denar.
 Vem, da bi umrl zaradi časti.; Ampak umrl bom kmalu.
 Umrl bi za Rim.; Toliko za slavo Rima.
 Umrl bi za spomin na svoje prednike.; Na slavju v spomin na očeta bi lahko oznanil razpustitev senata.
 Toda jaz sem zabavljač.; Sem zabavljač.
 Prosim te, brat.; Prosim, brat.
 Ne vem.; Zakaj je še živ? -Ne vem.
 Vse okuži, kot tifus.; Vse je kot ena velika nočna mora.
 Da bo Rim zdrav, mora senat krvaveti.; Da bo Rim zdrav, mora senat krvaveti. In krvavel bo.
 In krvavel bo.; Da bo Rim zdrav, mora senat krvaveti. In krvavel bo.
 Toda ne nocoj.; Zelo kmalu. -Toda ne nocoj.
 Se spomniš, kaj je nekoč rekel oče?; Se spomniš, kaj je nekoč dejal najin oče?
" ""Sanje so... Grozljive sanje so...";" ""Sanje so ... Grozljive sanje so ..."
 Ne vem.; Zakaj je še živ? -Ne vem.
 Jaz mislim, da je.; Jaz mislim, da drži.
 In to lahko delim le s tabo.; In to lahko delim le s teboj.
 Veš, da te ljubim.; Dovoli, da ti pomagam.
 Tudi jaz te ljubim.; In ker sem te jaz imela rada.
 Ven. Pojdite ven!; Ven. Pojdite ven! -Gremo!
 Moj brat je priprl Graha.; Moj brat je priprl Grakha.
 Proksim bo prišel opolnoči in te odpeljal k vratom.; Proksim bo prišel ob polnoči in te peljal k vratom.
 Za marsikaj se moram odkupiti.; Za veliko se moram odkupiti.
 Brat sovraži ves svet tebe pa najbolj.; Moj brat sovraži ves svet, tebe pa najbolj.
 Vse življenje sem se počutila osamljeno, razen s tabo.; Vse življenje sem se počutila osamljeno, razen s teboj ne.
 Ni prepozno, da bi se igral legionarja? -Nisem legionar.; Ni prepozno, da bi se igral legionarja? -Nisem legionar. -Ne?
 Kdo je to rekel?; In kdo je rekel to?
 Kje je Lucij?; Kje si utaborjen? -V Ostiji.
 Pri cesarju, moja gospa.; Kje je Lucij? -S cesarjem, moja gospa.
 Gotovo ni. -Je. Vzela jo je iz košare in si jo pritisnila na prsi, točno nad srce.; Gotovo ni. -Je. Vzela jo je iz košare in jo pritisnila na svoje prsi, točno nad srce.
 Jo je ugriznila v prsi? -Ja.; Zakaj je še živ? -Ne vem.
 Bral sem dragemu Luciju. -Tudi jaz sem bral.; Pridruži se nama, sestra. Bral sem dragemu Luciju.
 Res je. Bister fantič je. Nekoč bo imeniten cesar.; Tudi jaz sem bral. -Res je. Bister fantič je.
 Kraljica se je ubila s kačo.; Moj brat je priprl Grakha.
 Če boš zelo priden, ti bom jutri zvečer pripovedoval o cesarju Klavdiju.; Če boš zelo priden, ti jutri zvečer povem o cesarju Klavdiju.
 Njegovi sorodniki.; Njegovi sorodniki. Šepetali so za temnimi vogali in pozno ponoči hodili ven ter spletkarili in spletkarili ...
 Šepetali so v temnih kotih in pozno ponoči hodili ven, spletkarili in spletkarili...; Njegovi sorodniki. Šepetali so za temnimi vogali in pozno ponoči hodili ven ter spletkarili in spletkarili ...
 Gledala boš, kako se bom okopal v njihovi krvi.; Gledala boš, ko se bom kopal v njihovi krvi.
 Čebelica ga je prizadela bolj, kot bi ga lahko kdor koli drug.; Čebelica ga je prizadela bolj, kot bi ga kdor koli lahko.
 Kaj misliš, Lucij, se je zgodilo potem?; Kaj boš storil?
 Ne vem, stric.; Kaj misliš, Lucij, se je zgodilo potem? -Ne vem, stric.
 Odpri, v cesarjevem imenu!; Odpri, v imenu cesarja!
 Odpri vrata, v cesarjevem imenu!; Proksim! Odpri vrata, v imenu cesarja!
 Odpri vrata.; Odpri usta.
 Odpri vrata, Proksim!; Proksim! Odpri vrata, v imenu cesarja!
 Kaže, da si si zaslužil svobodo.; Potem se lahko vrneš v tisti zakoten kraj, od koder si prišel.
 Proksim, v nevarnosti si, da postaneš dober človek?; Proksim, si v nevarnosti, da boš postal dober mož?
 Zmigajte se! Kolina na levi!; Premaknite se! Na levi naredite kolono!
 Če se nočete vpletati, se vrnite v svoje celice.; Če se ne želite vplesti, se vrnite v svoje celice.
 Tu bomo počakali nate, Maksim. -Moč in čast. -Pojdimo.; Tukaj te bomo počakali, Maksim. -Moč in čast. -Pojdimo.
 In njegova mati?; Kaj pa moj nečak? In njegova mati?
 Naj bom mar usmiljen?; Ali naj bom sočuten?
 Komod Usmiljeni.; Komod Sočutni.
 Lucij bo ostal z mano.; Lucij bo zdaj ostal z menoj.
 In če me bo njegova mati samo narobe pogledala, bo umrl.; In če me njegova mati zgolj pogleda na način, ki mi ni po godu, bo umrl.
 Glede tebe pa...; Kar pa se tiče tebe ...
 Mar nisem usmiljen?; Ali nisem sočuten?
 Generala, ki je postal suženj.; General, ki je postal suženj.
 Sužnja, ki je postal gladiator.; Suženj, ki je postal gladiator.
 Gladiatorja, ki se je uprl cesarju.; Gladiator, ki se je zoperstavil cesarju.
 Osupljiva zgodba.; Osupljiva zgodba. Zdaj ljudje želijo vedeti, kako se konča.
 Zdaj želijo vedeti, kako se konča.; Ne želijo se predati.
 Dovolj bo le sijajna smrt.; Pritiče ji le sijajna smrt.
 In kaj bi lahko bilo sijajnejšega kot izzvati samega cesarja v veliki areni?; In kaj bi lahko bilo bolj sijajnega kot izzvati samega cesarja v veliki areni?
 Bi se boril proti meni? -Zakaj pa ne? Misliš, da se bojim?; Bi se boril z menoj? -Zakaj pa ne? Misliš, da se bojim?
 Mislim, da se bojiš že vse življenje.; Mislim, da se zdaj moraš spočiti.
 V nasprotju z neustrašnim in nepremagljivim Maksimom?; Mislim, da se bojiš že vse življenje. -V nasprotju z neustrašnim in nepremagljivim Maksimom?
 Ostane nam samo, da se ji smehljamo tudi mi.; Ob tem se zabavam, kajti modri, vsevedni Mark Avrelij je bil tisti, ki nas je pregnal.
